pincode,households
110001,19907
110002,13336
110003,45465
110004,13336
110005,13336
110006,66378
110007,42220
110008,13336
110009,50631
110010,19778
110011,13336
110012,13336
110013,33553
110014,33553
110015,66433
110016,24117
110017,42196
110018,66433
110019,33553
110020,43890
110021,12547
110022,19778
110023,19778
110024,56732
110025,33553
110026,47088
110027,66433
110028,19778
110029,15504
110030,19778
110031,35393
110032,25131
110033,50732
110034,54464
110035,39169
110036,50732
110037,19778
110038,19778
110039,50732
110040,8818
110041,22279
110042,50732
110043,17802
110044,33553
110045,12777
110046,19778
110047,7570
110048,62683
110049,33553
110051,35393
110052,50732
110053,35393
110054,42220
110055,13336
110056,50732
110057,13368
110058,34365
110059,50548
110060,13336
110061,19778
110062,33553
110063,66433
110064,66433
110065,40956
110066,19778
110067,19778
110068,19778
110070,9573
110071,19778
110072,19778
110073,7623
110074,19778
110075,21590
110076,33553
110077,19778
110078,19778
110080,33553
110081,50732
110082,50732
110083,50732
110084,42220
110085,32731
110086,50732
110087,66433
110088,51033
110089,50732
110090,35393
110091,44295
110092,39035
110093,23191
110094,35393
110095,35393
110096,27588
110097,19778
121001,34557
121002,20288
121003,20288
121004,49294
121005,9691
121006,20288
121007,20288
121008,20288
121009,24097
121010,20288
121012,20288
121013,20288
121101,9691
121102,20288
121103,20288
121105,20288
121106,20288
121107,20288
122001,18491
122002,18491
122003,18491
122004,18491
122005,18491
122006,18491
122007,18491
122008,18491
122009,18491
122011,18491
122015,18491
122016,18491
122017,18491
122018,18491
122051,18491
122052,18491
122101,18491
122102,18491
122103,18491
122104,18491
122105,18491
122107,18491
122108,18491
122413,18491
122414,18491
122502,18491
122503,18491
122504,18491
122505,18491
122506,18491
122508,18491
123001,25046
123021,25046
123023,25046
123024,25046
123027,25046
123028,25046
123029,25046
123034,19240
123035,19240
123101,19240
123102,19240
123103,19240
123106,6477
123110,14985
123301,19240
123302,19240
123303,25046
123401,19240
123411,6477
123412,6477
123501,6477
124001,18680
124010,15356
124021,6303
124022,6303
124102,6282
124103,13151
124104,13151
124105,13151
124106,6282
124107,6282
124108,13151
124109,13151
124111,13195
124112,13195
124113,13195
124141,13195
124142,13151
124146,13151
124201,13151
124202,13151
124303,13195
124401,6303
124404,13195
124406,13195
124411,13195
124412,13195
124501,13195
124504,6282
124505,31953
124506,13151
124507,6282
124508,13151
124513,13195
124514,32059
125001,21048
125004,21048
125005,21048
125006,21048
125007,21048
125011,21048
125033,21048
125037,21048
125038,21048
125039,21048
125042,21048
125044,21048
125047,21048
125048,25585
125049,21048
125050,25585
125051,25585
125052,21048
125053,25585
125054,18770
125055,18770
125056,18770
125058,18770
125060,18770
125075,18770
125076,18770
125077,18770
125078,18770
125101,18770
125102,18770
125103,18770
125104,18770
125106,25585
125110,18770
125111,25585
125112,21048
125113,21048
125120,25585
125121,21048
125133,25585
125201,18770
126101,26325
126102,26325
126110,26325
126111,26325
126112,26325
126113,26325
126114,26325
126115,26325
126116,26325
126125,26325
126152,26325
127021,14507
127022,14507
127025,14507
127026,14507
127027,14507
127028,14507
127029,15339
127030,14507
127031,14507
127032,14507
127035,14507
127040,14507
127041,14507
127042,14507
127043,14507
127045,14507
127046,14507
127111,14507
127114,14507
127201,5164
127306,14507
127307,14507
127308,14507
127309,14507
127310,14507
131001,15822
131021,15822
131022,15822
131023,5321
131024,15822
131027,15822
131028,15822
131029,15822
131039,15822
131101,15822
131102,15822
131103,15822
131301,15822
131302,15822
131304,15822
131305,15822
131306,15822
131402,15822
131403,15822
131408,15822
131409,15822
132001,21831
132022,21831
132023,21831
132024,21831
132036,21831
132037,21831
132039,21831
132040,21831
132041,21831
132046,21831
132054,21831
132101,20114
132102,20114
132103,20114
132104,20114
132105,20114
132106,20114
132107,20114
132108,20114
132113,20114
132114,21831
132115,20114
132116,21831
132117,21831
132122,20114
132140,20114
132145,20114
132157,21831
133001,13007
133004,13007
133005,13007
133006,13007
133101,13007
133102,13007
133104,13007
133201,13007
133202,13007
133203,13007
133205,13007
133207,13007
133301,8100
133302,8100
134003,13007
134005,13007
134007,13007
134101,8100
134102,8100
134104,8100
134107,8100
134108,8100
134109,8100
134112,8100
134113,8100
134114,8100
134116,8100
134117,8100
134118,8100
134201,13007
134202,13007
134203,13007
134204,13007
134205,8100
135103,18491
136020,21203
136021,21203
136026,21203
136027,21203
136030,18491
136033,21203
136034,21203
136035,21203
136038,18491
136042,21203
136043,21203
136044,21203
136117,21203
136118,6219
136119,18491
136128,18491
136129,18491
136130,18491
136131,18491
136132,18491
136135,18491
136136,18491
136156,18491
140001,6174
140101,6174
140103,6174
140108,6174
140111,6174
140112,6174
140113,6174
140114,6174
140116,6174
140117,6174
140118,12940
140119,6174
140123,6174
140124,6174
140126,6174
140133,6174
140301,6174
140306,6174
140307,6174
140308,6174
140401,23287
140402,23287
140405,18628
140406,18628
140407,18628
140412,18628
140417,23287
140506,23287
140601,23287
140602,23287
140603,23287
140701,23287
140702,23287
140802,23287
141001,7738
141003,12940
141008,12940
141101,12940
141102,12940
141103,12940
141104,12940
141105,12940
141106,12940
141107,12940
141108,12940
141109,12940
141110,12940
141112,12940
141113,12940
141114,12940
141115,12940
141116,12940
141117,12940
141118,12940
141119,12940
141120,12940
141121,12940
141122,12940
141123,12940
141125,12940
141126,12940
141127,12940
141201,12940
141202,12940
141203,12940
141204,12940
141205,12940
141206,12940
141401,12940
141411,18628
141412,12940
141413,12940
141414,12940
141415,12940
141416,12940
141417,12940
141418,12940
141419,12940
141421,12940
141801,18628
142001,10786
142002,10786
142003,10786
142011,10786
142021,12940
142022,12940
142023,12940
142024,12940
142025,12940
142026,12940
142027,12940
142029,12940
142030,12940
142031,12940
142032,12940
142033,12940
142034,12940
142035,12940
142036,12940
142037,10786
142038,10786
142039,10786
142040,10786
142041,17625
142042,10786
142043,10786
142044,17625
142045,10786
142046,10786
142047,17625
142048,10786
142049,10786
142050,17625
142052,17625
142053,10786
142054,10786
142055,10786
142056,10786
142057,10786
142058,10786
142060,17625
143001,11521
143002,11521
143005,11521
143006,11521
143008,11521
143009,11521
143022,11521
143101,11521
143102,11521
143103,11521
143105,11521
143107,11521
143108,11521
143109,11521
143111,11521
143112,11521
143113,11521
143114,11521
143115,11521
143116,11521
143117,11521
143118,30437
143119,11521
143149,11521
143201,11521
143202,11521
143203,11521
143204,11521
143205,11521
143301,11521
143302,11521
143303,11521
143304,11521
143305,11521
143401,30437
143402,11521
143406,11521
143407,11521
143408,30437
143409,11521
143410,11521
143411,11521
143412,30437
143413,11521
143414,11521
143415,30437
143416,30437
143419,30437
143422,30437
143501,11521
143502,11521
143504,11521
143505,13883
143506,13883
143507,13883
143511,13883
143512,13883
143513,13883
143514,13883
143515,13883
143516,13883
143517,13883
143518,13883
143519,13883
143520,13883
143521,13883
143525,13883
143526,13883
143527,13883
143528,13883
143529,13883
143530,13883
143531,13883
143532,13883
143533,13883
143534,13883
143601,11521
143602,13883
143603,11521
143604,13883
143605,13883
143606,11521
144001,8783
144002,8783
144005,8783
144008,8783
144020,8783
144024,8783
144025,8783
144026,8783
144028,8783
144029,8783
144030,8783
144031,8783
144032,8783
144033,8783
144034,8783
144035,8783
144036,8783
144037,8783
144039,8783
144040,8783
144041,8783
144042,8783
144043,8783
144044,8783
144101,8783
144102,8783
144103,8783
144104,8783
144105,6747
144106,8783
144201,8783
144202,6747
144204,6747
144205,6747
144206,6747
144207,6747
144208,6747
144209,6747
144210,6747
144211,6747
144212,6747
144213,6747
144214,6747
144216,6747
144221,6747
144222,6747
144223,6747
144224,6747
144301,8783
144302,8783
144303,8783
144305,6747
144306,6747
144311,8783
144401,8464
144402,8464
144403,8783
144404,6747
144405,8783
144406,6747
144407,8783
144408,8464
144409,8783
144410,8783
144411,8464
144416,8783
144417,8783
144418,8783
144419,8783
144511,8783
144519,6747
144520,6747
144523,6747
144527,6747
144528,6747
144529,6747
144530,6747
144531,6747
144601,8464
144602,8464
144603,8464
144606,8464
144620,8464
144621,8464
144622,8464
144623,8783
144624,8464
144625,8464
144626,8464
144628,8464
144629,8783
144630,8783
144631,8464
144632,8464
144633,8783
144701,8783
144702,8783
144703,8783
144801,8783
144802,8464
144803,8464
144804,8464
144805,8783
144806,8783
144819,8464
145001,13883
145022,13883
145023,13883
145024,13883
145025,13883
145026,13883
145027,13883
145029,13883
145101,13883
146001,6747
146021,6747
146022,6747
146023,6747
146024,6747
146101,6747
146102,6747
