pincode,name,lat,lng,ppi_ml,ppi_original,est_monthly_income_hh,est_monthly_spend_hh
560025,Indiranagar,12.975,77.64,169,129.0,188900.0,111300.0
400006,Malabar Hill,18.963,72.8003,160,158.0,184100.0,113900.0
560027,Koramangala,12.935,77.627,158,124.0,144200.0,90500.0
400021,Cuffe Parade,18.921,72.823,151,153.0,147700.0,96000.0
560001,MG Road / Cubbon Pk,12.978,77.61,150,121.0,119200.0,78000.0
110003,Golf Links / Lodhi,28.598,77.227,148,125.0,127300.0,83800.0
110021,Chanakyapuri,28.595,77.188,148,124.0,127500.0,83900.0
110057,Vasant Vihar,28.557,77.16,148,124.0,124900.0,82600.0
400005,Colaba,18.907,72.815,140,142.0,115000.0,78800.0
400049,Bandra West,19.055,72.827,139,141.0,111800.0,77100.0
400060,Juhu,19.0971,72.8263,137,142.0,106300.0,74100.0
110024,Defence Colony / Lajpat,28.573,77.231,135,115.0,92800.0,65300.0
110048,Greater Kailash,28.543,77.24,132,116.0,86800.0,62000.0
400018,Worli,19.0175,72.8169,131,136.0,91700.0,65900.0
400001,Fort Mumbai,18.934,72.834,129,129.0,87800.0,63600.0
110001,Connaught Place,28.6329,77.2197,129,123.0,80400.0,58300.0
110070,Vasant Kunj,28.52,77.155,126,112.0,75300.0,55300.0
400051,Khar West,19.072,72.835,125,130.0,81100.0,59700.0
560034,Whitefield,12.969,77.75,124,104.0,66200.0,48900.0
122022,Gurgaon Golf Course Rd,28.4324,77.1005,124,114.0,72300.0,53500.0
110016,Hauz Khas,28.549,77.2,123,108.0,70600.0,52500.0
560017,HSR Layout,12.907,77.641,119,106.0,58600.0,44300.0
560037,Marathahalli,12.956,77.701,117,101.0,55900.0,42700.0
110017,Saket / Malviya Nagar,28.524,77.21,116,103.0,60800.0,46500.0
560076,Malleshwaram,13.004,77.572,114,99.0,51900.0,40200.0
400013,Lower Parel,18.9937,72.8263,111,120.0,58900.0,46100.0
560099,Bellandur,12.935,77.666,111,98.0,49000.0,38400.0
560008,Ulsoor,12.9743,77.6186,109,103.0,47300.0,37300.0
560011,Jayanagar,12.93,77.584,108,102.0,45200.0,36000.0
400050,Bandra East,19.058,72.843,106,111.0,52500.0,42000.0
201301,Noida Sec 18-27,28.57,77.326,100,101.0,34800.0,28500.0
560002,Shivajinagar,12.9836,77.6081,100,98.0,38200.0,31300.0
110034,Pitampura,28.699,77.131,97,91.0,39400.0,32700.0
400028,Dadar West,19.0178,72.8478,97,110.0,42900.0,35600.0
110092,Preet Vihar,28.641,77.295,97,92.0,39100.0,32500.0
400053,Santacruz West,19.083,72.841,97,107.0,43200.0,35800.0
560029,Basavanagudi,12.937,77.5763,95,95.0,34000.0,28500.0
560078,JP Nagar,12.9044,77.5856,93,93.0,32300.0,27300.0
400054,Vile Parle West,19.0983,72.8487,92,106.0,38300.0,32400.0
400059,Andheri West,19.119,72.836,92,102.0,38500.0,32600.0
560004,Rajajinagar,12.9952,77.55,89,89.0,29900.0,25400.0
400068,Powai,19.117,72.905,87,96.0,35100.0,29800.0
110026,Punjabi Bagh,28.6686,77.1277,87,91.0,31700.0,27000.0
110006,Chandni Chowk,28.6562,77.23,85,88.0,30700.0,26100.0
560068,Vijayanagar,12.965,77.536,84,84.0,27600.0,23500.0
560085,Banashankari,12.924,77.563,84,89.0,27500.0,23400.0
110075,Dwarka,28.5921,77.046,84,89.0,30100.0,25600.0
560003,Chamrajpet,12.962,77.5632,81,86.0,25800.0,21900.0
110091,Mayur Vihar Phase 1,28.6085,77.296,80,84.0,27900.0,23700.0
560066,Brookefield,12.982,77.7212,78,85.0,24500.0,20900.0
400071,Chembur,19.052,72.9,77,88.0,28900.0,24600.0
400063,Malad West,19.186,72.848,75,87.0,28100.0,23800.0
400074,Chembur East,19.0488,72.9302,74,86.0,27600.0,23500.0
110009,Model Town,28.7143,77.1908,74,80.0,25400.0,21600.0
122002,Gurgaon City,28.4738,77.034,74,81.0,25200.0,21500.0
560032,RT Nagar,13.0231,77.5907,74,84.0,22800.0,19400.0
141001,Ludhiana City,30.9,75.85,73,,25800.0,21700.0
251001,Muzaffarnagar,29.47,77.7,72,,25300.0,21400.0
400062,Goregaon West,19.1584,72.8494,72,88.0,26500.0,22500.0
110058,Janakpuri,28.6282,77.0847,71,77.0,23900.0,20300.0
400086,Borivali West,19.234,72.858,70,84.0,25700.0,21900.0
412216,412216,18.63261261261261,74.06570357093172,70,,25700.0,21800.0
410500,Chakan,18.745225225225223,73.86,70,,25700.0,21800.0
400080,Mulund West,19.168,72.951,70,84.0,25400.0,21600.0
400097,Malad East,19.1776,72.8681,69,82.0,25000.0,21300.0
110059,Uttam Nagar,28.62,77.06,69,72.0,22800.0,19400.0
400070,Ghatkopar,19.074,72.907,69,81.0,24900.0,21100.0
400614,Vashi,19.0771,73.0028,69,80.0,25000.0,21200.0
110032,Vivek Vihar,28.6724,77.3078,68,73.0,22500.0,19100.0
110093,Shahdara/Nand Nagri,28.673,77.289,67,72.0,22100.0,18800.0
560103,Sarjapur Road,12.9013,77.6791,66,76.0,19800.0,16800.0
560047,Hebbal,13.0358,77.5953,66,80.0,19800.0,16800.0
110085,Rohini,28.7495,77.0737,64,72.0,21000.0,17900.0
400708,Airoli,19.1553,72.9984,61,75.0,21600.0,18300.0
560035,Electronic City,12.845,77.663,60,73.0,17600.0,15000.0
110040,Narela,28.84,77.09,57,66.0,18400.0,15600.0
560064,Yelahanka,13.1067,77.5955,53,72.0,15500.0,13200.0
