pincode,bank_branches_per_lakh,deposits_per_capita
110001,262.4,4897938.0
110003,59.0,716899.0
110004,25.8,399318.0
110006,112.4,4897938.0
110009,53.3,631568.0
110016,56.5,716899.0
110017,73.9,716899.0
110021,27.4,526690.0
110024,73.9,716899.0
110026,20.8,380690.0
110032,21.3,435294.0
110034,17.0,240699.0
110040,22.9,631568.0
110043,10.2,
110048,31.7,716899.0
110054,29.3,399318.0
110057,28.3,526690.0
110058,48.4,380690.0
110059,32.6,380690.0
110070,24.7,526690.0
110074,4.8,399318.0
110075,57.7,526690.0
110081,5.0,399318.0
110085,39.8,240699.0
110091,18.7,435294.0
110092,43.7,435294.0
110093,26.8,282089.0
110094,1.9,399318.0
121001,14.9,336703.0
122001,33.3,336703.0
122002,62.4,1308452.0
122011,15.3,336703.0
122022,62.4,1308452.0
122051,15.8,336703.0
122052,14.6,336703.0
122102,15.8,336703.0
122505,17.1,336703.0
122506,14.9,336703.0
123001,10.8,336703.0
123023,5.1,336703.0
123106,7.9,336703.0
123412,,132566.0
123501,8.1,336703.0
123502,5.8,336703.0
127029,2.6,336703.0
140306,25.8,216166.0
141001,22.4,216166.0
141116,10.4,216166.0
144601,25.5,216166.0
160018,15.7,1199450.0
171207,23.8,237497.0
176041,19.9,237497.0
201301,38.2,412621.0
201303,11.9,92773.0
203200,,187840.0
248159,14.6,243171.0
251001,6.3,92773.0
301020,5.1,100479.0
301406,2.0,100479.0
301701,,100479.0
301704,,100479.0
301705,,100479.0
301708,,100479.0
301709,,100479.0
301713,,100479.0
301714,,127963.0
302001,14.4,100479.0
303108,,100479.0
332746,3.4,100479.0
333036,3.4,100479.0
360001,14.1,189132.0
383205,3.0,189132.0
387335,5.3,189132.0
388400,,215816.0
400001,300.4,3942767.0
400005,199.5,3942767.0
400006,128.8,3942767.0
400013,32.4,506790.0
400018,37.1,506790.0
400021,219.6,3942767.0
400028,50.0,506790.0
400049,38.3,506790.0
400050,50.0,506790.0
400051,67.5,506790.0
400053,44.1,506790.0
400054,42.9,506790.0
400059,37.1,506790.0
400060,28.9,506790.0
400062,38.3,506790.0
400063,40.6,506790.0
400068,51.1,506790.0
400070,35.9,506790.0
400071,51.1,506790.0
400074,30.1,506790.0
400080,52.3,506790.0
400086,50.0,506790.0
400087,4.9,465720.0
400097,37.1,506790.0
400201,,137386.0
400603,5.1,465720.0
400605,5.1,465720.0
400607,6.7,465720.0
400612,5.3,465720.0
400614,19.1,282353.0
400615,4.8,465720.0
400702,9.1,465720.0
400708,44.5,282353.0
401209,5.6,465720.0
401301,4.3,465720.0
403103,18.8,719201.0
403529,16.1,719201.0
410206,17.5,465720.0
410210,12.6,465720.0
410500,,300749.0
411001,13.7,465720.0
411004,11.2,465720.0
411014,11.4,465720.0
411089,,570000.0
412216,6.1,465720.0
413001,7.5,465720.0
413002,6.5,465720.0
413304,7.0,465720.0
416001,8.3,465720.0
416008,7.5,465720.0
416115,7.5,465720.0
421201,8.0,465720.0
421302,8.2,465720.0
421312,4.6,465720.0
421503,8.0,465720.0
421604,4.2,465720.0
422001,8.9,465720.0
422003,8.3,465720.0
422009,8.9,465720.0
