pincode,msme_per_lakh
110001,13157.71
110002,13157.71
110003,4425.41
110004,13157.71
110005,13157.71
110006,8145.47
110007,8145.47
110008,13157.71
110009,5438.94
110010,4965.51
110011,13157.71
110012,13157.71
110013,4425.41
110014,4425.41
110015,6010.36
110016,4965.51
110017,4425.41
110018,6010.36
110019,4425.41
110020,4425.41
110021,4965.51
110022,4965.51
110023,4965.51
110024,4425.41
110025,4425.41
110026,6010.36
110027,6010.36
110028,4965.51
110029,4965.51
110030,4965.51
110031,6583.22
110032,6583.22
110033,5438.94
110034,5438.94
110035,5438.94
110036,5438.94
110037,4965.51
110038,4965.51
110039,5438.94
110040,5438.94
110041,6010.36
110042,5438.94
110043,4965.51
110044,4425.41
110045,4965.51
110046,4965.51
110047,4965.51
110048,4425.41
110049,4425.41
110051,6583.22
110052,5438.94
110053,6583.22
110054,8145.47
110055,13157.71
110056,5438.94
110057,4965.51
110058,6010.36
110059,6010.36
110060,13157.71
110061,4965.51
110062,4425.41
110063,6010.36
110064,6010.36
110065,4425.41
110066,4965.51
110067,4965.51
110068,4965.51
110070,4965.51
110071,4965.51
110072,4965.51
110073,4965.51
110074,4965.51
110075,4965.51
110076,4425.41
110077,4965.51
110078,4965.51
110080,4425.41
110081,5438.94
110082,5438.94
110083,5438.94
110084,8145.47
110085,5438.94
110086,5438.94
110087,6010.36
110088,5438.94
110089,5438.94
110090,6583.22
110091,6583.22
110092,6583.22
110093,6583.22
110094,6583.22
110095,6583.22
110096,6583.22
110097,4965.51
121001,8287.26
121002,8287.26
121003,8287.26
121004,8287.26
121005,8287.26
121006,8287.26
121007,8287.26
121008,8287.26
121009,8287.26
121010,8287.26
121012,8287.26
121013,8287.26
121101,8287.26
121102,8287.26
121103,8287.26
121105,8287.26
121106,8287.26
121107,8287.26
122001,11959.24
122002,11959.24
122003,11959.24
122004,11959.24
122005,11959.24
122006,11959.24
122007,11959.24
122008,11959.24
122009,11959.24
122011,11959.24
122015,11959.24
122016,11959.24
122017,11959.24
122018,11959.24
122051,11959.24
122052,11959.24
122101,11959.24
122102,11959.24
122103,11959.24
122104,11959.24
122105,11959.24
122107,11959.24
122108,11959.24
122413,11959.24
122414,11959.24
122502,11959.24
122503,11959.24
122504,11959.24
122505,11959.24
122506,11959.24
122508,11959.24
123001,3423.1
123021,3423.1
123023,3423.1
123024,3423.1
123027,3423.1
123028,3423.1
123029,3423.1
123034,4172.61
123035,4172.61
123101,4172.61
123102,4172.61
123103,4172.61
123106,4172.61
123110,4172.61
123301,4172.61
123302,4172.61
123303,3423.1
123401,4172.61
123411,4172.61
123412,4172.61
123501,4172.61
124001,4484.44
124010,4484.44
124021,4484.44
124022,4484.44
124102,3916.37
124103,3916.37
124104,3916.37
124105,3916.37
124106,3916.37
124107,3916.37
124108,3916.37
124109,3916.37
124111,4484.44
124112,4484.44
124113,4484.44
124141,4484.44
124142,3916.37
124146,3916.37
124201,3916.37
124202,3916.37
124303,4484.44
124401,4484.44
124404,4484.44
124406,4484.44
124411,4484.44
124412,4484.44
124501,4484.44
124504,3916.37
124505,3916.37
124506,3916.37
124507,3916.37
124508,3916.37
124513,4484.44
124514,4484.44
125001,4938.45
125004,4938.45
125005,4938.45
125006,4938.45
125007,4938.45
125011,4938.45
125033,4938.45
125037,4938.45
125038,4938.45
125039,4938.45
125042,4938.45
125044,4938.45
125047,4938.45
125048,4794.05
125049,4938.45
125050,4794.05
125051,4794.05
125052,4938.45
125053,4794.05
125054,4769.7
125055,4769.7
125056,4769.7
125058,4769.7
125060,4769.7
125075,4769.7
125076,4769.7
125077,4769.7
125078,4769.7
125101,4769.7
125102,4769.7
125103,4769.7
125104,4769.7
125106,4794.05
125110,4769.7
125111,4794.05
125112,4938.45
125113,4938.45
125120,4794.05
125121,4938.45
125133,4794.05
125201,4769.7
126101,4220.06
126102,4220.06
126110,4220.06
126111,4220.06
126112,4220.06
126113,4220.06
126114,4220.06
126115,4220.06
126116,4220.06
126125,4220.06
126152,4220.06
127021,3033.74
127022,3033.74
