pincode,nsdp_per_capita
110001,417217.0
110003,417217.0
110004,417217.0
110006,417217.0
110009,417217.0
110016,417217.0
110017,417217.0
110020,417217.0
110021,417217.0
110024,417217.0
110026,417217.0
110032,417217.0
110034,417217.0
110040,417217.0
110043,417217.0
110048,417217.0
110054,417217.0
110057,417217.0
110058,417217.0
110059,417217.0
110070,417217.0
110074,417217.0
110075,417217.0
110081,417217.0
110085,417217.0
110091,417217.0
110092,417217.0
110093,417217.0
110094,417217.0
121001,289213.0
121004,289213.0
121101,289213.0
122001,289213.0
122002,289213.0
122004,289213.0
122008,289213.0
122011,289213.0
122051,289213.0
122052,289213.0
122102,289213.0
122505,289213.0
122506,289213.0
123001,289213.0
123023,289213.0
123106,289213.0
123110,289213.0
123412,289213.0
123501,289213.0
127029,289213.0
140306,185802.0
141001,185802.0
141116,185802.0
144601,185802.0
160018,408512.0
171207,214952.0
174316,214952.0
176041,214952.0
182202,123614.0
192129,123614.0
201001,84640.0
201003,84640.0
201008,84640.0
201009,84640.0
201301,84640.0
201303,84640.0
201306,84640.0
201312,84640.0
201314,84640.0
203202,84640.0
203205,84640.0
203207,84640.0
248159,219850.0
249401,219850.0
251001,84640.0
281302,84640.0
282001,84640.0
282007,84640.0
282009,84640.0
282010,84640.0
283105,84640.0
283119,84640.0
283122,84640.0
283125,84640.0
283202,84640.0
301020,150020.0
301406,150020.0
301701,150020.0
301704,150020.0
301705,150020.0
301708,150020.0
301709,150020.0
301713,150020.0
301714,150020.0
302001,150020.0
303108,150020.0
304001,150020.0
332746,150020.0
333036,150020.0
335512,150020.0
335525,150020.0
335526,150020.0
342001,150020.0
360001,272451.0
383205,272451.0
387335,272451.0
400001,252289.0
400005,252289.0
400006,252289.0
400013,252289.0
400018,252289.0
400021,252289.0
400028,252289.0
400049,252289.0
400050,252289.0
400051,252289.0
400053,252289.0
400054,252289.0
400059,252289.0
400060,252289.0
400063,252289.0
400068,252289.0
400070,252289.0
400071,252289.0
400074,252289.0
400080,252289.0
400086,252289.0
400087,252289.0
400097,252289.0
400603,252289.0
400605,252289.0
400607,252289.0
400612,252289.0
400614,252289.0
400615,252289.0
400702,252289.0
400708,252289.0
401209,252289.0
401301,252289.0
403103,532854.0
403529,532854.0
410206,252289.0
410210,252289.0
411001,252289.0
411004,252289.0
411014,252289.0
412216,252289.0
413001,252289.0
413002,252289.0
413304,252289.0
416001,252289.0
416008,252289.0
416115,252289.0
421201,252289.0
421302,252289.0
421312,252289.0
421503,252289.0
422001,252289.0
422003,252289.0
422009,252289.0
431001,252289.0
431003,252289.0
431005,252289.0
431601,252289.0
431602,252289.0
431605,252289.0
440001,252289.0
440010,252289.0
440015,252289.0
440021,252289.0
444601,252289.0
444602,252289.0
444906,252289.0
452001,127947.0
521156,219917.0
530028,219917.0
560001,310325.0
560002,310325.0
560003,310325.0
560004,310325.0
560008,310325.0
560011,310325.0
560012,310325.0
560017,310325.0
560025,310325.0
560027,310325.0
560029,310325.0
560032,310325.0
560034,310325.0
560035,310325.0
560037,310325.0
560047,310325.0
560064,310325.0
560066,310325.0
560068,310325.0
560076,310325.0
560078,310325.0
560085,310325.0
560099,310325.0
560103,310325.0
570001,310325.0
574220,310325.0
577101,310325.0
583103,310325.0
601103,275272.0
605005,231231.0
609604,231231.0
625005,275272.0
625520,275272.0
631501,275272.0
636014,275272.0
637003,275272.0
638506,275272.0
638656,275272.0
643001,275272.0
673574,257307.0
680014,257307.0
683541,257307.0
685512,257307.0
686564,257307.0
688501,257307.0
689699,257307.0
695543,257307.0
700019,137909.0
737101,520466.0
737120,520466.0
737139,520466.0
744202,263984.0
744207,263984.0
790105,204469.0
790116,204469.0
791001,204469.0
791119,204469.0
791120,204469.0
791122,204469.0
792110,204469.0
796082,213665.0
797004,138889.0
799001,153584.0
