state,district,mpce_combined,mpce_rural,mpce_urban,mpce_p50,ppi_signal,survey_year,source
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,17831.0,6436.0,18839.0,10309.0,100.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
CHANDIGARH,CHANDIGARH DISTRICT,17205.0,9979.0,17441.0,11374.0,96.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
HARYANA,GURGAON,15397.0,8321.0,15940.0,9809.0,84.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
SIKKIM,EAST DISTRICT,14858.0,11718.0,17565.0,10668.0,80.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
SIKKIM,NORTH DISTRICT,14690.0,12742.0,17748.0,12731.0,79.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
HARYANA,FARIDABAD,14158.0,6245.0,15208.0,11148.0,76.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
DELHI,SOUTH WEST,13844.0,9035.0,14263.0,7480.0,74.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
KARNATAKA,BANGALORE,13169.0,14232.0,13034.0,9865.0,70.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MAHARASHTRA,MUMBAI SUBURBAN,13036.0,0,13036.0,7746.0,69.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
SIKKIM,SOUTH DISTRICT,12876.0,11247.0,17669.0,9350.0,68.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
DELHI,SOUTH,12758.0,4935.0,12787.0,6740.0,67.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
KERALA,THIRUVANANTHAPURAM,12533.0,9078.0,13647.0,8218.0,66.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
DELHI,WEST,12452.0,0,12452.0,7772.0,65.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
TAMIL NADU,THE NILGIRIS,12392.0,0,12392.0,8995.0,65.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
KERALA,ERNAKULAM,12353.0,12834.0,12187.0,7068.0,64.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ANDAMAN &NICOBAR,SOUTH ANDAMAN,11684.0,10356.0,12611.0,8830.0,60.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
HARYANA,PANCHKULA,11671.0,0,11671.0,9169.0,60.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
TAMIL NADU,CHENNAI,11552.0,0,11552.0,8757.0,59.7,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ARUNACHAL PRADESH,WEST SIANG,11483.0,9295.0,14340.0,8736.0,59.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
DELHI,NORTH EAST,11382.0,8627.0,11394.0,7456.0,58.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
TAMIL NADU,KANCHEEPURAM,11263.0,9275.0,12081.0,7973.0,57.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
