pincode,factories_per_lakh
110001,16.46
110002,16.46
110003,16.46
110004,16.46
110005,16.46
110006,16.46
110007,16.46
110008,16.46
110009,16.46
110010,16.46
110011,16.46
110012,16.46
110013,16.46
110014,16.46
110015,16.46
110016,16.46
110017,16.46
110018,16.46
110019,16.46
110020,16.46
110021,16.46
110022,16.46
110023,16.46
110024,16.46
110025,16.46
110026,16.46
110027,16.46
110028,16.46
110029,16.46
110030,16.46
110031,16.46
110032,16.46
110033,16.46
110034,16.46
110035,16.46
110036,16.46
110037,16.46
110038,16.46
110039,16.46
110040,16.46
110041,16.46
110042,16.46
110043,16.46
110044,16.46
110045,16.46
110046,16.46
110047,16.46
110048,16.46
110049,16.46
110051,16.46
110052,16.46
110053,16.46
110054,16.46
110055,16.46
110056,16.46
110057,16.46
110058,16.46
110059,16.46
110060,16.46
110061,16.46
110062,16.46
110063,16.46
110064,16.46
110065,16.46
110066,16.46
110067,16.46
110068,16.46
110070,16.46
110071,16.46
110072,16.46
110073,16.46
110074,16.46
110075,16.46
110076,16.46
110077,16.46
110078,16.46
110080,16.46
110081,16.46
110082,16.46
110083,16.46
110084,16.46
110085,16.46
110086,16.46
110087,16.46
110088,16.46
110089,16.46
110090,16.46
110091,16.46
110092,16.46
110093,16.46
110094,16.46
110095,16.46
110096,16.46
110097,16.46
121001,40.17
121002,40.17
121003,40.17
121004,40.17
121005,40.17
121006,40.17
121007,40.17
121008,40.17
121009,40.17
121010,40.17
121012,40.17
121013,40.17
121101,40.17
121102,40.17
121103,40.17
121105,40.17
121106,40.17
121107,40.17
122001,40.17
122002,40.17
122003,40.17
122004,40.17
122005,40.17
122006,40.17
122007,40.17
122008,40.17
122009,40.17
122011,40.17
122015,40.17
122016,40.17
122017,40.17
122018,40.17
122051,40.17
122052,40.17
122101,40.17
122102,40.17
122103,40.17
122104,40.17
122105,40.17
122107,40.17
122108,40.17
122413,40.17
122414,40.17
122502,40.17
122503,40.17
122504,40.17
122505,40.17
122506,40.17
122508,40.17
123001,40.17
123021,40.17
123023,40.17
123024,40.17
123027,40.17
123028,40.17
123029,40.17
123034,40.17
123035,40.17
123101,40.17
123102,40.17
123103,40.17
123106,40.17
123110,40.17
123301,40.17
123302,40.17
123303,40.17
123401,40.17
123411,40.17
123412,40.17
123501,40.17
124001,40.17
124010,40.17
124021,40.17
124022,40.17
124102,40.17
124103,40.17
124104,40.17
124105,40.17
124106,40.17
124107,40.17
124108,40.17
124109,40.17
124111,40.17
124112,40.17
124113,40.17
124141,40.17
124142,40.17
124146,40.17
124201,40.17
124202,40.17
124303,40.17
124401,40.17
124404,40.17
124406,40.17
124411,40.17
124412,40.17
124501,40.17
124504,40.17
124505,40.17
124506,40.17
124507,40.17
124508,40.17
124513,40.17
124514,40.17
125001,40.17
125004,40.17
125005,40.17
125006,40.17
125007,40.17
125011,40.17
125033,40.17
125037,40.17
125038,40.17
125039,40.17
125042,40.17
125044,40.17
125047,40.17
125048,40.17
125049,40.17
125050,40.17
125051,40.17
125052,40.17
125053,40.17
125054,40.17
125055,40.17
125056,40.17
125058,40.17
125060,40.17
125075,40.17
125076,40.17
125077,40.17
125078,40.17
125101,40.17
125102,40.17
125103,40.17
125104,40.17
125106,40.17
125110,40.17
125111,40.17
125112,40.17
125113,40.17
125120,40.17
125121,40.17
125133,40.17
125201,40.17
126101,40.17
126102,40.17
126110,40.17
126111,40.17
126112,40.17
126113,40.17
126114,40.17
126115,40.17
126116,40.17
126125,40.17
126152,40.17
127021,40.17
127022,40.17
127025,40.17
127026,40.17
127027,40.17
127028,40.17
127029,40.17
127030,40.17
127031,40.17
127032,40.17
127035,40.17
127040,40.17
127041,40.17
127042,40.17
127043,40.17
127045,40.17
127046,40.17
127111,40.17
127114,40.17
127201,40.17
127306,40.17
127307,40.17
127308,40.17
127309,40.17
127310,40.17
131001,40.17
131021,40.17
131022,40.17
131023,40.17
131024,40.17
131027,40.17
131028,40.17
131029,40.17
131039,40.17
131101,40.17
131102,40.17
131103,40.17
131301,40.17
131302,40.17
131304,40.17
131305,40.17
131306,40.17
131402,40.17
131403,40.17
131408,40.17
131409,40.17
132001,40.17
132022,40.17
132023,40.17
132024,40.17
132036,40.17
132037,40.17
132039,40.17
132040,40.17
132041,40.17
132046,40.17
132054,40.17
132101,40.17
132102,40.17
132103,40.17
132104,40.17
132105,40.17
132106,40.17
132107,40.17
132108,40.17
132113,40.17
132114,40.17
132115,40.17
132116,40.17
132117,40.17
132122,40.17
132140,40.17
132145,40.17
132157,40.17
133001,40.17
133004,40.17
133005,40.17
133006,40.17
133101,40.17
133102,40.17
133104,40.17
133201,40.17
133202,40.17
133203,40.17
133205,40.17
133207,40.17
133301,40.17
133302,40.17
134003,40.17
134005,40.17
134007,40.17
134101,40.17
134102,40.17
134104,40.17
134107,40.17
134108,40.17
134109,40.17
134112,40.17
134113,40.17
134114,40.17
134116,40.17
134117,40.17
134118,40.17
134201,40.17
134202,40.17
134203,40.17
134204,40.17
134205,40.17
135103,40.17
136020,40.17
136021,40.17
136026,40.17
136027,40.17
136030,40.17
136033,40.17
136034,40.17
136035,40.17
136038,40.17
136042,40.17
136043,40.17
136044,40.17
136117,40.17
136118,40.17
136119,40.17
136128,40.17
136129,40.17
136130,40.17
136131,40.17
136132,40.17
136135,40.17
136136,40.17
136156,40.17
140001,42.75
140101,42.75
140103,42.75
140108,42.75
140111,42.75
140112,42.75
140113,42.75
140114,42.75
140116,42.75
140117,42.75
140118,42.75
140119,42.75
140123,42.75
140124,42.75
140126,42.75
140133,42.75
140301,42.75
140306,42.75
140307,42.75
140308,42.75
140401,42.75
140402,42.75
140405,42.75
140406,42.75
140407,42.75
140412,42.75
140417,42.75
140506,42.75
140601,42.75
140602,42.75
140603,42.75
140701,42.75
140702,42.75
140802,42.75
141001,42.75
141003,42.75
141008,42.75
141101,42.75
141102,42.75
141103,42.75
141104,42.75
141105,42.75
141106,42.75
141107,42.75
141108,42.75
141109,42.75
141110,42.75
141112,42.75
141113,42.75
141114,42.75
141115,42.75
141116,42.75
141117,42.75
141118,42.75
141119,42.75
141120,42.75
141121,42.75
141122,42.75
141123,42.75
141125,42.75
141126,42.75
141127,42.75
141201,42.75
141202,42.75
141203,42.75
141204,42.75
141205,42.75
141206,42.75
141401,42.75
141411,42.75
141412,42.75
141413,42.75
141414,42.75
141415,42.75
141416,42.75
141417,42.75
141418,42.75
141419,42.75
141421,42.75
141801,42.75
142001,42.75
142002,42.75
142003,42.75
142011,42.75
142021,42.75
142022,42.75
142023,42.75
142024,42.75
142025,42.75
142026,42.75
142027,42.75
142029,42.75
142030,42.75
142031,42.75
142032,42.75
142033,42.75
142034,42.75
142035,42.75
142036,42.75
142037,42.75
142038,42.75
142039,42.75
142040,42.75
142041,42.75
142042,42.75
142043,42.75
142044,42.75
142045,42.75
142046,42.75
142047,42.75
142048,42.75
142049,42.75
142050,42.75
142052,42.75
142053,42.75
142054,42.75
142055,42.75
142056,42.75
142057,42.75
142058,42.75
142060,42.75
143001,42.75
143002,42.75
143005,42.75
143006,42.75
143008,42.75
143009,42.75
143022,42.75
143101,42.75
143102,42.75
143103,42.75
143105,42.75
143107,42.75
143108,42.75
143109,42.75
143111,42.75
143112,42.75
143113,42.75
143114,42.75
143115,42.75
143116,42.75
143117,42.75
143118,42.75
143119,42.75
143149,42.75
143201,42.75
143202,42.75
143203,42.75
143204,42.75
143205,42.75
143301,42.75
143302,42.75
143303,42.75
143304,42.75
143305,42.75
143401,42.75
143402,42.75
143406,42.75
143407,42.75
143408,42.75
143409,42.75
143410,42.75
143411,42.75
143412,42.75
143413,42.75
143414,42.75
143415,42.75
143416,42.75
143419,42.75
143422,42.75
143501,42.75
143502,42.75
143504,42.75
143505,42.75
143506,42.75
143507,42.75
143511,42.75
143512,42.75
143513,42.75
143514,42.75
143515,42.75
143516,42.75
143517,42.75
143518,42.75
143519,42.75
143520,42.75
143521,42.75
143525,42.75
143526,42.75
143527,42.75
143528,42.75
143529,42.75
143530,42.75
143531,42.75
143532,42.75
