pincode,filers_per_capita
110003,0.3182
110021,0.3085
110057,0.2969
110024,0.2864
110048,0.2645
110016,0.2537
110017,0.2458
110070,0.2502
110034,0.2225
110092,0.198
110059,0.1679
110093,0.1486
110040,0.1233
201301,0.228
400021,0.4028
400005,0.3852
400049,0.3712
400051,0.3314
400053,0.2704
400059,0.2509
400068,0.2332
400050,0.2689
400071,0.1978
400070,0.1719
400063,0.1907
400086,0.1767
560025,0.2876
560027,0.2784
560001,0.2674
560099,0.2283
560034,0.2347
560017,0.2228
560076,0.2172
560037,0.2048
560011,0.1971
560068,0.174
560085,0.1646
560035,0.1302
110001,0.2182
110006,0.1343
110009,0.1503
110026,0.1693
110058,0.1343
110075,0.1302
110085,0.126
110091,0.1384
110032,0.1302
122002,0.1387
122022,0.2852
400006,0.5009
400013,0.273
400018,0.3653
400028,0.2465
400054,0.241
400060,0.3778
400062,0.1933
400097,0.1627
400074,0.1901
400080,0.1801
400614,0.1516
400708,0.1359
560002,0.176
560003,0.1603
560004,0.1811
560008,0.1912
560029,0.176
560032,0.1549
560047,0.1383
560064,0.1146
560066,0.1439
560078,0.176
560103,0.1439
400001,0.3245
251001,0.0793
141001,0.0914
410500,0.1542
412216,0.0868
411001,0.1517
411004,0.1753
411014,0.1677
440001,0.1106
440010,0.1206
440015,0.1137
422009,0.1157
422001,0.1001
422003,0.0945
431001,0.1001
431005,0.0945
431003,0.0922
416001,0.0945
416008,0.1033
416115,0.0827
413001,0.0851
413002,0.0827
413304,0.0723
444601,0.0802
444602,0.0827
444906,0.0667
431601,0.0827
431605,0.0776
431602,0.0802
123412,0.0747
123106,0.0747
301705,0.0415
301704,0.0415
123501,0.0747
301708,0.0415
201303,0.0503
301714,0.0926
400201,0.0868
400603,0.1437
400605,0.1091
400607,0.0868
400612,0.0868
400615,0.0868
401209,0.0868
410210,0.0868
421302,0.109
421312,0.0868
421503,0.0868
421604,0.0868
110004,0.1836
110054,0.1836
110074,0.1836
110081,0.1836
110094,0.1836
121001,0.212
122001,0.212
140306,0.1513
160018,0.14
171207,0.14
203200,0.1429
301406,0.1177
302001,0.1177
400087,0.2465
403103,0.2465
403529,0.2465
411089,0.2465
452001,0.1093
560012,0.176
605005,0.1597
629853,0.1597
631501,0.1597
636014,0.1597
638506,0.1597
638656,0.1597
643001,0.1597
680014,0.1681
683541,0.1681
685512,0.1681
686564,0.1681
688501,0.1681
689699,0.1681
691315,0.1681
695543,0.1681
700019,0.1177
737101,0.1177
737120,0.1177
737139,0.1177
744207,0.1177
782423,0.14
790116,0.14
791001,0.14
791119,0.14
796082,0.14
D160859,0.14
D254564,0.14
D324734,0.14
D629207,0.14
D701545,0.14
D792405,0.14
D976610,0.14
