pincode,per_capita_income_karnataka
560001,544106.8
560002,544106.8
560003,544106.8
560004,544106.8
560005,544106.8
560006,544106.8
560007,544106.8
560008,544106.8
560009,544106.8
560010,544106.8
560011,544106.8
560012,544106.8
560013,544106.8
560014,544106.8
560015,544106.8
560016,544106.8
560017,544106.8
560018,544106.8
560019,544106.8
560020,544106.8
560021,544106.8
560022,544106.8
560023,544106.8
560024,544106.8
560025,544106.8
560026,544106.8
560027,544106.8
560029,544106.8
560030,544106.8
560032,544106.8
560033,544106.8
560034,544106.8
560035,544106.8
560036,544106.8
560037,544106.8
560038,544106.8
560039,544106.8
560040,544106.8
560041,544106.8
560042,544106.8
560043,544106.8
560045,544106.8
560046,544106.8
560047,544106.8
560048,544106.8
560049,544106.8
560050,544106.8
560051,544106.8
560053,544106.8
560054,544106.8
560055,544106.8
560056,544106.8
560057,544106.8
560058,544106.8
560059,544106.8
560060,208023.25
560061,544106.8
560062,544106.8
560063,544106.8
560064,544106.8
560065,544106.8
560066,544106.8
560067,544106.8
560068,544106.8
560070,544106.8
560071,544106.8
560072,544106.8
560073,544106.8
560074,544106.8
560075,544106.8
560076,544106.8
560077,544106.8
560078,544106.8
560079,544106.8
560080,544106.8
560081,544106.8
560082,208023.25
560083,544106.8
560084,544106.8
560085,544106.8
560086,544106.8
560087,544106.8
560088,208023.25
560089,208023.25
560090,208023.25
560091,544106.8
560092,544106.8
560093,544106.8
560094,544106.8
560095,544106.8
560096,544106.8
560097,544106.8
560098,544106.8
560099,544106.8
560100,544106.8
560102,544106.8
560103,544106.8
560104,544106.8
560105,544106.8
560107,208023.25
560108,544106.8
560109,544106.8
560110,544106.8
560112,544106.8
560300,544106.8
561101,208023.25
561201,195631.75
561202,183371.88888888888
561203,208023.25
561204,208023.25
561205,208023.25
561206,121664.75
561207,121664.75
561208,121664.75
561209,121664.75
561210,149820.2
561211,149820.2
561212,121664.75
561213,149820.2
561228,149820.2
562101,121664.75
562102,121664.75
562103,149820.2
562104,149820.2
562105,121664.75
562106,544106.8
562107,544106.8
562108,195631.75
562109,195631.75
562110,208023.25
562111,208023.25
562112,195631.75
562114,208023.25
562117,195631.75
562119,195631.75
562120,195631.75
562121,195631.75
562122,208023.25
562123,208023.25
562125,544106.8
562126,195631.75
562127,208023.25
562128,195631.75
562129,208023.25
562130,544106.8
562131,208023.25
562132,208023.25
562135,208023.25
562138,195631.75
562149,544106.8
562157,544106.8
562159,195631.75
562160,195631.75
562161,195631.75
562162,208023.25
562163,208023.25
562164,208023.25
563101,149820.2
563102,149820.2
563103,149820.2
563113,149820.2
563114,149820.2
563115,149820.2
563116,149820.2
563117,149820.2
563118,149820.2
563119,149820.2
563120,149820.2
563121,149820.2
563122,149820.2
563123,149820.2
563124,121664.75
563125,149820.2
563126,149820.2
563127,149820.2
563128,149820.2
563129,149820.2
563130,149820.2
563131,149820.2
563132,149820.2
563133,149820.2
563134,149820.2
563135,149820.2
563136,149820.2
563137,149820.2
563138,149820.2
563139,149820.2
563146,149820.2
563159,121664.75
563160,149820.2
563161,149820.2
563162,149820.2
570001,131098.5
570002,131098.5
570003,131098.5
570004,131098.5
570005,131098.5
570006,131098.5
570007,131098.5
570008,131098.5
570009,131098.5
570010,131098.5
570011,131098.5
570012,131098.5
570014,131098.5
570015,131098.5
570016,131098.5
570017,131098.5
570018,131098.5
570019,131098.5
570020,131098.5
570022,131098.5
570023,131098.5
570025,131098.5
570026,131098.5
570027,131098.5
570028,131098.5
570029,131098.5
570030,131098.5
570031,131098.5
571101,131098.5
571102,131098.5
571103,131098.5
571104,131098.5
571105,131098.5
571106,131098.5
571107,131098.5
571108,131098.5
571109,572980.0
571110,131098.5
571111,572980.0
571114,131098.5
571115,572980.0
571116,131098.5
571117,572980.0
571118,131098.5
571119,131098.5
571120,131098.5
571121,131098.5
571122,131098.5
571123,572980.0
571124,131098.5
571125,131098.5
571126,572980.0
571127,572980.0
571128,572980.0
571129,131098.5
571130,131098.5
571134,131098.5
571187,131098.5
571189,131098.5
571201,182076.25
571211,182076.25
571212,182076.25
571213,182076.25
571214,182076.25
571215,182076.25
571216,182076.25
571217,182076.25
571218,182076.25
571219,182076.25
571231,182076.25
571232,182076.25
571234,182076.25
571235,182076.25
571236,182076.25
571237,182076.25
571247,182076.25
571248,182076.25
571249,182076.25
571250,182076.25
571251,182076.25
571252,182076.25
571253,182076.25
571254,182076.25
571301,131098.5
571302,131098.5
571311,131098.5
571312,131098.5
571313,572980.0
571314,131098.5
571315,131098.5
571316,572980.0
571320,572980.0
571342,572980.0
571401,203335.42857142858
571402,203335.42857142858
571403,203335.42857142858
571404,203335.42857142858
571405,203335.42857142858
571415,203335.42857142858
571416,203335.42857142858
571417,203335.42857142858
571418,203335.42857142858
571419,203335.42857142858
571421,203335.42857142858
571422,203335.42857142858
571423,203335.42857142858
571424,203335.42857142858
571425,203335.42857142858
571426,203335.42857142858
571427,203335.42857142858
571428,203335.42857142858
571429,203335.42857142858
571430,203335.42857142858
571431,203335.42857142858
571432,203335.42857142858
571433,203335.42857142858
571434,203335.42857142858
571435,203335.42857142858
571436,203335.42857142858
571438,203335.42857142858
571439,572980.0
571440,572980.0
571441,572980.0
571442,572980.0
571443,572980.0
571444,572980.0
571445,203335.42857142858
571446,203335.42857142858
571448,203335.42857142858
571450,203335.42857142858
571455,203335.42857142858
571457,572980.0
571463,203335.42857142858
571475,203335.42857142858
571476,203335.42857142858
571477,203335.42857142858
571478,203335.42857142858
571490,572980.0
571601,131098.5
571602,131098.5
571603,131098.5
571604,131098.5
571605,203335.42857142858
571606,203335.42857142858
571607,203335.42857142858
571610,131098.5
571617,131098.5
571802,203335.42857142858
571807,203335.42857142858
571811,203335.42857142858
571812,203335.42857142858
572101,183371.88888888888
572102,183371.88888888888
572103,183371.88888888888
572104,183371.88888888888
572105,183371.88888888888
572106,183371.88888888888
572107,183371.88888888888
572111,183371.88888888888
572112,183371.88888888888
572113,183371.88888888888
572114,183371.88888888888
572115,183371.88888888888
572116,183371.88888888888
572117,183371.88888888888
572118,183371.88888888888
572119,183371.88888888888
572120,183371.88888888888
572121,183371.88888888888
572122,183371.88888888888
572123,183371.88888888888
572124,183371.88888888888
572125,183371.88888888888
572126,183371.88888888888
572127,183371.88888888888
572128,183371.88888888888
572129,183371.88888888888
572130,183371.88888888888
572132,183371.88888888888
572133,183371.88888888888
572134,183371.88888888888
572135,183371.88888888888
572136,183371.88888888888
572137,183371.88888888888
572138,183371.88888888888
572139,183371.88888888888
572140,183371.88888888888
572141,183371.88888888888
572142,183371.88888888888
572168,183371.88888888888
572175,183371.88888888888
572201,183371.88888888888
572211,183371.88888888888
572212,183371.88888888888
572213,183371.88888888888
572214,183371.88888888888
572215,183371.88888888888
572216,183371.88888888888
572217,183371.88888888888
572218,183371.88888888888
572219,183371.88888888888
572220,183371.88888888888
572221,183371.88888888888
572222,183371.88888888888
572223,183371.88888888888
572224,183371.88888888888
572225,183371.88888888888
572226,183371.88888888888
572227,183371.88888888888
572228,183371.88888888888
573101,163973.66666666666
573102,163973.66666666666
573103,163973.66666666666
573111,163973.66666666666
573112,163973.66666666666
573113,163973.66666666666
573115,163973.66666666666
573116,163973.66666666666
573117,163973.66666666666
573118,163973.66666666666
573119,163973.66666666666
573120,163973.66666666666
573121,163973.66666666666
573122,163973.66666666666
