pincode,mpce_combined,mpce_rural,mpce_urban,hces_ppi,hces_district,hces_state
110001,9791.0,0.0,9791.0,48.4,CENTRAL,DELHI
110003,12758.0,4935.0,12787.0,67.4,SOUTH,DELHI
110006,9791.0,0.0,9791.0,48.4,CENTRAL,DELHI
110009,7910.0,7753.0,7915.0,36.3,NORTH,DELHI
110016,12758.0,4935.0,12787.0,67.4,SOUTH,DELHI
110017,12758.0,4935.0,12787.0,67.4,SOUTH,DELHI
110021,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110024,12758.0,4935.0,12787.0,67.4,SOUTH,DELHI
110026,12452.0,0.0,12452.0,65.5,WEST,DELHI
110032,10441.0,0.0,10441.0,52.6,EAST,DELHI
110034,10444.0,8673.0,10511.0,52.6,NORTH WEST,DELHI
110040,7910.0,7753.0,7915.0,36.3,NORTH,DELHI
110048,12758.0,4935.0,12787.0,67.4,SOUTH,DELHI
110057,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110058,12452.0,0.0,12452.0,65.5,WEST,DELHI
110059,12452.0,0.0,12452.0,65.5,WEST,DELHI
110070,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110075,13844.0,9035.0,14263.0,74.4,SOUTH WEST,DELHI
110085,10444.0,8673.0,10511.0,52.6,NORTH WEST,DELHI
110091,10441.0,0.0,10441.0,52.6,EAST,DELHI
110092,10441.0,0.0,10441.0,52.6,EAST,DELHI
110093,10441.0,0.0,10441.0,52.6,EAST,DELHI
122002,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
122022,15397.0,8321.0,15940.0,84.4,GURGAON,HARYANA
201301,17831.0,6436.0,18839.0,100.0,GAUTAM BUDDHA NAGAR,UTTAR PRADESH
400001,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400005,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400006,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400013,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400018,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400021,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400028,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400049,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400050,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400051,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400053,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400054,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400059,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400060,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400062,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400063,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400068,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400070,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400071,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400074,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400080,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400086,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400097,13036.0,0.0,13036.0,69.2,MUMBAI SUBURBAN,MAHARASHTRA
400614,7754.0,5476.0,8216.0,35.3,THANE,MAHARASHTRA
400708,7754.0,5476.0,8216.0,35.3,THANE,MAHARASHTRA
560001,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560002,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560003,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560004,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560008,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560011,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560017,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560025,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560027,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560029,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560032,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560034,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560035,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560037,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560047,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560064,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560066,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560068,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560076,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560078,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560085,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560099,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
560103,13169.0,14232.0,13034.0,70.1,BANGALORE,KARNATAKA
141001,8397.0,6577.0,9357.0,39.4,LUDHIANA,PUNJAB
410500,6579.0,5620.0,14096.0,27.8,RATNAGIRI,MAHARASHTRA
412216,10073.0,6815.0,11641.0,50.2,PUNE,MAHARASHTRA
411001,10073.0,6815.0,11641.0,50.2,PUNE,MAHARASHTRA
411004,10073.0,6815.0,11641.0,50.2,PUNE,MAHARASHTRA
411014,10073.0,6815.0,11641.0,50.2,PUNE,MAHARASHTRA
440001,8309.0,5951.0,8855.0,38.9,NAGPUR,MAHARASHTRA
440010,8309.0,5951.0,8855.0,38.9,NAGPUR,MAHARASHTRA
440015,8309.0,5951.0,8855.0,38.9,NAGPUR,MAHARASHTRA
422009,5887.0,3419.0,7670.0,23.3,NASHIK,MAHARASHTRA
422001,5887.0,3419.0,7670.0,23.3,NASHIK,MAHARASHTRA
422003,5887.0,3419.0,7670.0,23.3,NASHIK,MAHARASHTRA
431001,,,,,CHHATRAPATI SAMBHAJINAGAR,MAHARASHTRA
431005,,,,,CHHATRAPATI SAMBHAJINAGAR,MAHARASHTRA
431003,,,,,CHHATRAPATI SAMBHAJINAGAR,MAHARASHTRA
416001,7893.0,5762.0,11653.0,36.2,KOLHAPUR,MAHARASHTRA
416008,7893.0,5762.0,11653.0,36.2,KOLHAPUR,MAHARASHTRA
416115,7893.0,5762.0,11653.0,36.2,KOLHAPUR,MAHARASHTRA
413001,5340.0,5117.0,6426.0,19.8,SOLAPUR,MAHARASHTRA
413002,5340.0,5117.0,6426.0,19.8,SOLAPUR,MAHARASHTRA
413304,5340.0,5117.0,6426.0,19.8,SOLAPUR,MAHARASHTRA
444601,5086.0,5053.0,5212.0,18.2,AMRAVATI,MAHARASHTRA
