pincode,radiance_mean
110003,56.4
110057,56.5
110021,55.2
110024,49.2
110048,52.2
110016,46.1
110017,42.3
110070,42.5
110034,35.9
110092,33.3
110059,16.6
110093,16.4
110040,12.8
201301,36.2
400021,64.0
400049,59.0
400005,62.0
400051,55.0
400053,46.0
400059,43.0
400068,41.0
400050,47.0
400071,36.0
400070,30.0
400063,34.0
400086,32.0
560025,54.0
560027,53.0
560001,52.0
560099,40.0
560034,42.0
560017,40.0
560076,38.0
560037,37.0
560011,36.0
560068,31.0
560085,28.0
560035,22.0
110001,58.0
110006,44.0
110009,36.0
110026,40.0
110058,35.0
110075,30.0
110085,28.0
110091,34.0
110032,30.0
122002,38.0
122022,42.0
400006,60.0
400013,56.0
400018,54.0
400028,50.0
400054,46.0
400060,50.0
400062,38.0
400097,32.0
400074,34.0
400080,30.0
400614,35.0
400708,28.0
560002,44.0
560003,36.0
560004,38.0
560008,46.0
560029,36.0
560032,32.0
560047,28.0
560064,22.0
560066,30.0
560078,36.0
560103,26.0
400001,55.3
251001,20.8
141001,21.6
410500,37.2
412216,28.6
411001,42.0
411004,44.0
411014,43.0
440001,30.0
440010,31.0
440015,28.0
422009,29.0
422001,27.0
422003,26.0
431001,26.0
431005,24.0
431003,23.0
416001,25.0
416008,26.0
416115,22.0
413001,23.0
413002,22.0
413304,19.0
444601,21.0
444602,22.0
444906,17.0
431601,21.0
431605,20.0
431602,20.0
123412,24.9
123106,24.9
301705,15.8
301704,15.8
123501,24.9
301708,15.8
201303,16.9
301714,22.8
400201,28.6
400603,36.0
400605,31.8
400607,28.6
400612,28.6
400615,28.6
401209,28.6
410210,28.6
421302,31.7
421312,28.6
421503,28.6
421604,28.6
110004,38.0
110054,38.0
110074,38.0
110081,38.0
110094,38.0
121001,40.0
122001,40.0
140306,27.2
160018,28.0
171207,28.0
203200,27.2
301406,25.4
302001,25.4
400087,46.0
403103,46.0
403529,46.0
411089,46.0
452001,21.8
560012,36.0
605005,30.8
629853,30.8
631501,30.8
636014,30.8
638506,30.8
638656,30.8
643001,30.8
680014,23.6
683541,23.6
685512,23.6
686564,23.6
688501,23.6
689699,23.6
691315,23.6
695543,23.6
700019,32.6
737101,32.6
737120,32.6
737139,32.6
744207,32.6
782423,28.0
790116,28.0
791001,28.0
791119,28.0
796082,28.0
D160859,28.0
D254564,28.0
D324734,28.0
D629207,28.0
D701545,28.0
D792405,28.0
D976610,28.0
625005,30.8
796911,28.0
248159,27.2
176041,28.0
637003,30.8
144601,27.2
383205,29.9
D226277,28.0
791122,28.0
799001,28.0
744202,32.6
D653477,28.0
530028,27.2
D648773,28.0
127029,40.0
601103,30.8
609604,30.8
D681670,28.0
410206,46.0
574220,36.0
790105,28.0
141116,27.2
388400,29.9
387335,29.9
570001,36.0
360001,18.6
400702,28.6
401301,28.6
421201,33.8
