pincode,rate_per_sqft
110003,39437.0
110057,35720.0
110021,37726.0
110024,33931.0
110048,30273.0
110016,28527.0
110017,27272.0
110070,27966.0
110034,23655.0
110092,20020.0
110059,15819.0
110093,13287.0
110040,10179.0
201301,27411.0
400021,61200.0
400049,53400.0
400005,56800.0
400051,44200.0
400053,31500.0
400059,27800.0
400068,24600.0
400050,31200.0
400071,18700.0
400070,14800.0
400063,17600.0
400086,15500.0
560025,24200.0
560027,23100.0
560001,21800.0
560099,17400.0
560034,18100.0
560017,16800.0
560076,16200.0
560037,14900.0
560011,14100.0
560068,11800.0
560085,10900.0
560035,7800.0
110001,23000.0
110006,11500.0
110009,13500.0
110026,16000.0
110058,11500.0
110075,11000.0
110085,10500.0
110091,12000.0
110032,11000.0
122002,10000.0
122022,28000.0
400006,88000.0
400013,32000.0
400018,52000.0
400028,27000.0
400054,26000.0
400060,55000.0
400062,18000.0
400097,13500.0
400074,17500.0
400080,16000.0
400614,12000.0
400708,10000.0
560002,12000.0
560003,10500.0
560004,12500.0
560008,13500.0
560029,12000.0
560032,10000.0
560047,8500.0
560064,6500.0
560066,9000.0
560078,12000.0
560103,9000.0
400001,40718.0
251001,2740.0
141001,3023.0
410500,13652.0
412216,5919.0
