pincode,state,district,psu_branch_count
744301,ANDAMAN & NICOBAR ISLANDS,NICOBAR,1
744302,ANDAMAN & NICOBAR ISLANDS,NICOBAR,2
744303,ANDAMAN & NICOBAR ISLANDS,NICOBAR,1
744201,ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,1
744202,ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2
744204,ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,1
744205,ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2
744209,ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,1
744210,ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,1
744101,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,15
744102,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2
744103,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,9
744104,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,3
744105,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,8
744107,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2
744110,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,1
744206,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,3
744207,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2
531024,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,4
531029,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,1
531040,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,2
531077,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,2
531105,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,1
531111,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,1
531133,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,1
531151,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,2
532557,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,1
513001,ANDHRA PRADESH,ANAKAPALLI,1
531001,ANDHRA PRADESH,ANAKAPALLI,18
531002,ANDHRA PRADESH,ANAKAPALLI,3
531005,ANDHRA PRADESH,ANAKAPALLI,1
531011,ANDHRA PRADESH,ANAKAPALLI,6
531019,ANDHRA PRADESH,ANAKAPALLI,2
531020,ANDHRA PRADESH,ANAKAPALLI,3
531021,ANDHRA PRADESH,ANAKAPALLI,3
531023,ANDHRA PRADESH,ANAKAPALLI,2
531025,ANDHRA PRADESH,ANAKAPALLI,3
531026,ANDHRA PRADESH,ANAKAPALLI,3
531027,ANDHRA PRADESH,ANAKAPALLI,2
531028,ANDHRA PRADESH,ANAKAPALLI,1
531030,ANDHRA PRADESH,ANAKAPALLI,3
531031,ANDHRA PRADESH,ANAKAPALLI,3
531032,ANDHRA PRADESH,ANAKAPALLI,2
531033,ANDHRA PRADESH,ANAKAPALLI,1
531034,ANDHRA PRADESH,ANAKAPALLI,1
531035,ANDHRA PRADESH,ANAKAPALLI,6
531036,ANDHRA PRADESH,ANAKAPALLI,7
531055,ANDHRA PRADESH,ANAKAPALLI,8
531060,ANDHRA PRADESH,ANAKAPALLI,2
531061,ANDHRA PRADESH,ANAKAPALLI,7
531075,ANDHRA PRADESH,ANAKAPALLI,1
531081,ANDHRA PRADESH,ANAKAPALLI,4
531082,ANDHRA PRADESH,ANAKAPALLI,3
531083,ANDHRA PRADESH,ANAKAPALLI,2
531084,ANDHRA PRADESH,ANAKAPALLI,2
531085,ANDHRA PRADESH,ANAKAPALLI,3
531086,ANDHRA PRADESH,ANAKAPALLI,1
531113,ANDHRA PRADESH,ANAKAPALLI,1
531114,ANDHRA PRADESH,ANAKAPALLI,2
531115,ANDHRA PRADESH,ANAKAPALLI,2
531116,ANDHRA PRADESH,ANAKAPALLI,15
531126,ANDHRA PRADESH,ANAKAPALLI,4
515001,ANDHRA PRADESH,ANANTHAPURAMU,36
515002,ANDHRA PRADESH,ANANTHAPURAMU,2
515003,ANDHRA PRADESH,ANANTHAPURAMU,4
515004,ANDHRA PRADESH,ANANTHAPURAMU,11
515005,ANDHRA PRADESH,ANANTHAPURAMU,1
515401,ANDHRA PRADESH,ANANTHAPURAMU,3
515402,ANDHRA PRADESH,ANANTHAPURAMU,2
515405,ANDHRA PRADESH,ANANTHAPURAMU,2
515408,ANDHRA PRADESH,ANANTHAPURAMU,2
515411,ANDHRA PRADESH,ANANTHAPURAMU,11
515425,ANDHRA PRADESH,ANANTHAPURAMU,4
515435,ANDHRA PRADESH,ANANTHAPURAMU,2
515445,ANDHRA PRADESH,ANANTHAPURAMU,1
515455,ANDHRA PRADESH,ANANTHAPURAMU,1
515465,ANDHRA PRADESH,ANANTHAPURAMU,3
515701,ANDHRA PRADESH,ANANTHAPURAMU,1
515711,ANDHRA PRADESH,ANANTHAPURAMU,1
515721,ANDHRA PRADESH,ANANTHAPURAMU,3
515722,ANDHRA PRADESH,ANANTHAPURAMU,3
515731,ANDHRA PRADESH,ANANTHAPURAMU,4
515741,ANDHRA PRADESH,ANANTHAPURAMU,2
515751,ANDHRA PRADESH,ANANTHAPURAMU,2
515761,ANDHRA PRADESH,ANANTHAPURAMU,5
515763,ANDHRA PRADESH,ANANTHAPURAMU,2
515765,ANDHRA PRADESH,ANANTHAPURAMU,1
515766,ANDHRA PRADESH,ANANTHAPURAMU,4
515767,ANDHRA PRADESH,ANANTHAPURAMU,1
515774,ANDHRA PRADESH,ANANTHAPURAMU,1
515775,ANDHRA PRADESH,ANANTHAPURAMU,2
515801,ANDHRA PRADESH,ANANTHAPURAMU,13
515802,ANDHRA PRADESH,ANANTHAPURAMU,1
515809,ANDHRA PRADESH,ANANTHAPURAMU,1
515812,ANDHRA PRADESH,ANANTHAPURAMU,4
515822,ANDHRA PRADESH,ANANTHAPURAMU,2
515832,ANDHRA PRADESH,ANANTHAPURAMU,1
515842,ANDHRA PRADESH,ANANTHAPURAMU,1
515863,ANDHRA PRADESH,ANANTHAPURAMU,1
515865,ANDHRA PRADESH,ANANTHAPURAMU,6
515870,ANDHRA PRADESH,ANANTHAPURAMU,2
515871,ANDHRA PRADESH,ANANTHAPURAMU,3
515872,ANDHRA PRADESH,ANANTHAPURAMU,1
516101,ANDHRA PRADESH,ANNAMAYYA,10
516104,ANDHRA PRADESH,ANNAMAYYA,1
516105,ANDHRA PRADESH,ANNAMAYYA,1
516107,ANDHRA PRADESH,ANNAMAYYA,3
516108,ANDHRA PRADESH,ANNAMAYYA,2
516115,ANDHRA PRADESH,ANNAMAYYA,13
516126,ANDHRA PRADESH,ANNAMAYYA,1
516127,ANDHRA PRADESH,ANNAMAYYA,1
516128,ANDHRA PRADESH,ANNAMAYYA,1
516129,ANDHRA PRADESH,ANNAMAYYA,1
516130,ANDHRA PRADESH,ANNAMAYYA,3
516150,ANDHRA PRADESH,ANNAMAYYA,4
516214,ANDHRA PRADESH,ANNAMAYYA,1
516215,ANDHRA PRADESH,ANNAMAYYA,2
516247,ANDHRA PRADESH,ANNAMAYYA,2
516257,ANDHRA PRADESH,ANNAMAYYA,2
516267,ANDHRA PRADESH,ANNAMAYYA,2
516268,ANDHRA PRADESH,ANNAMAYYA,2
516269,ANDHRA PRADESH,ANNAMAYYA,15
516504,ANDHRA PRADESH,ANNAMAYYA,2
517213,ANDHRA PRADESH,ANNAMAYYA,2
517214,ANDHRA PRADESH,ANNAMAYYA,11
517234,ANDHRA PRADESH,ANNAMAYYA,4
517236,ANDHRA PRADESH,ANNAMAYYA,2
517277,ANDHRA PRADESH,ANNAMAYYA,2
517280,ANDHRA PRADESH,ANNAMAYYA,2
517297,ANDHRA PRADESH,ANNAMAYYA,2
517299,ANDHRA PRADESH,ANNAMAYYA,2
517301,ANDHRA PRADESH,ANNAMAYYA,1
517319,ANDHRA PRADESH,ANNAMAYYA,2
517325,ANDHRA PRADESH,ANNAMAYYA,19
517326,ANDHRA PRADESH,ANNAMAYYA,1
517327,ANDHRA PRADESH,ANNAMAYYA,1
517350,ANDHRA PRADESH,ANNAMAYYA,2
517351,ANDHRA PRADESH,ANNAMAYYA,1
517352,ANDHRA PRADESH,ANNAMAYYA,1
517370,ANDHRA PRADESH,ANNAMAYYA,3
517390,ANDHRA PRADESH,ANNAMAYYA,2
