pincode,district,psu_branch_count
413201,AHILYANAGAR,5
413204,AHILYANAGAR,2
413205,AHILYANAGAR,1
413701,AHILYANAGAR,9
413702,AHILYANAGAR,4
413704,AHILYANAGAR,2
413705,AHILYANAGAR,6
413706,AHILYANAGAR,3
413707,AHILYANAGAR,1
413708,AHILYANAGAR,1
413709,AHILYANAGAR,10
413710,AHILYANAGAR,2
413711,AHILYANAGAR,1
413712,AHILYANAGAR,1
413714,AHILYANAGAR,3
413715,AHILYANAGAR,2
413716,AHILYANAGAR,2
413719,AHILYANAGAR,2
413721,AHILYANAGAR,1
413722,AHILYANAGAR,1
413723,AHILYANAGAR,1
413724,AHILYANAGAR,1
413725,AHILYANAGAR,2
413728,AHILYANAGAR,2
413736,AHILYANAGAR,3
413737,AHILYANAGAR,1
413739,AHILYANAGAR,1
414001,AHILYANAGAR,25
414002,AHILYANAGAR,7
414003,AHILYANAGAR,12
414005,AHILYANAGAR,5
414006,AHILYANAGAR,3
414101,AHILYANAGAR,1
414102,AHILYANAGAR,7
414103,AHILYANAGAR,3
414105,AHILYANAGAR,5
414106,AHILYANAGAR,2
414110,AHILYANAGAR,1
414111,AHILYANAGAR,7
414113,AHILYANAGAR,1
414201,AHILYANAGAR,2
414301,AHILYANAGAR,5
414302,AHILYANAGAR,7
414303,AHILYANAGAR,1
414304,AHILYANAGAR,2
414305,AHILYANAGAR,1
414306,AHILYANAGAR,3
414401,AHILYANAGAR,4
414402,AHILYANAGAR,8
414403,AHILYANAGAR,5
414404,AHILYANAGAR,1
414501,AHILYANAGAR,3
414502,AHILYANAGAR,8
414503,AHILYANAGAR,2
414505,AHILYANAGAR,2
414601,AHILYANAGAR,2
414602,AHILYANAGAR,1
414603,AHILYANAGAR,6
414604,AHILYANAGAR,2
414606,AHILYANAGAR,1
414607,AHILYANAGAR,1
414701,AHILYANAGAR,4
415426,AHILYANAGAR,1
422601,AHILYANAGAR,7
422602,AHILYANAGAR,2
422604,AHILYANAGAR,3
422605,AHILYANAGAR,22
422609,AHILYANAGAR,1
422610,AHILYANAGAR,2
422611,AHILYANAGAR,1
422618,AHILYANAGAR,1
422619,AHILYANAGAR,1
422620,AHILYANAGAR,1
423107,AHILYANAGAR,7
423109,AHILYANAGAR,11
423601,AHILYANAGAR,10
423602,AHILYANAGAR,1
423603,AHILYANAGAR,2
423605,AHILYANAGAR,1
423607,AHILYANAGAR,1
440107,AKOLA,1
444001,AKOLA,28
444002,AKOLA,2
444004,AKOLA,3
444005,AKOLA,6
444006,AKOLA,1
444055,AKOLA,1
444100,AKOLA,1
444101,AKOLA,11
444102,AKOLA,4
444103,AKOLA,2
444104,AKOLA,2
444106,AKOLA,2
444107,AKOLA,8
444108,AKOLA,6
444109,AKOLA,1
444111,AKOLA,1
444115,AKOLA,1
444117,AKOLA,2
444123,AKOLA,1
444125,AKOLA,1
444126,AKOLA,1
444302,AKOLA,4
444311,AKOLA,2
444401,AKOLA,4
444405,AKOLA,1
444407,AKOLA,1
444501,AKOLA,5
444502,AKOLA,2
440601,AMRAVATI,1
444003,AMRAVATI,2
444601,AMRAVATI,24
444602,AMRAVATI,10
444603,AMRAVATI,7
444604,AMRAVATI,2
444605,AMRAVATI,4
444606,AMRAVATI,7
444607,AMRAVATI,4
444701,AMRAVATI,7
444702,AMRAVATI,6
444704,AMRAVATI,3
444705,AMRAVATI,9
444706,AMRAVATI,2
444707,AMRAVATI,2
444708,AMRAVATI,6
444709,AMRAVATI,7
444710,AMRAVATI,1
444711,AMRAVATI,1
444713,AMRAVATI,1
444716,AMRAVATI,1
444717,AMRAVATI,2
444719,AMRAVATI,1
444720,AMRAVATI,2
444721,AMRAVATI,1
444723,AMRAVATI,2
444724,AMRAVATI,1
444727,AMRAVATI,1
444801,AMRAVATI,5
444802,AMRAVATI,2
444803,AMRAVATI,8
444804,AMRAVATI,2
444805,AMRAVATI,10
444806,AMRAVATI,5
444807,AMRAVATI,3
444808,AMRAVATI,3
444809,AMRAVATI,2
444810,AMRAVATI,2
444812,AMRAVATI,1
444813,AMRAVATI,2
444815,AMRAVATI,1
444818,AMRAVATI,1
444819,AMRAVATI,1
444900,AMRAVATI,1
444901,AMRAVATI,4
444902,AMRAVATI,4
444903,AMRAVATI,5
444904,AMRAVATI,8
444905,AMRAVATI,6
444906,AMRAVATI,10
444907,AMRAVATI,2
444908,AMRAVATI,1
444909,AMRAVATI,1
444912,AMRAVATI,1
444913,AMRAVATI,2
444914,AMRAVATI,1
411804,BHANDARA,1
414904,BHANDARA,1
441802,BHANDARA,10
441803,BHANDARA,2
441804,BHANDARA,3
441809,BHANDARA,3
441903,BHANDARA,2
441904,BHANDARA,17
441905,BHANDARA,6
441906,BHANDARA,5
441907,BHANDARA,3
441908,BHANDARA,1
441909,BHANDARA,3
441910,BHANDARA,5
441912,BHANDARA,11
441914,BHANDARA,2
441915,BHANDARA,1
441924,BHANDARA,1
441927,BHANDARA,1
413249,BID,1
414202,BID,3
414203,BID,4
414204,BID,2
431122,BID,29
431123,BID,3
431124,BID,2
431125,BID,2
431126,BID,2
431127,BID,6
431129,BID,1
431130,BID,2
431131,BID,8
431143,BID,2
431207,BID,2
431515,BID,3
431517,BID,9
431518,BID,1
431519,BID,1
431520,BID,1
431530,BID,1
443001,BULDHANA,21
443101,BULDHANA,10
443102,BULDHANA,3
443103,BULDHANA,2
443104,BULDHANA,1
443106,BULDHANA,1
443107,BULDHANA,1
443201,BULDHANA,14
443202,BULDHANA,3
443203,BULDHANA,3
443204,BULDHANA,5
443206,BULDHANA,2
443209,BULDHANA,1
443301,BULDHANA,11
443302,BULDHANA,3
443303,BULDHANA,1
443304,BULDHANA,1
443307,BULDHANA,1
443308,BULDHANA,1
443401,BULDHANA,2
443402,BULDHANA,5
443403,BULDHANA,1
443404,BULDHANA,4
443405,BULDHANA,1
444201,BULDHANA,2
444202,BULDHANA,1
444203,BULDHANA,8
444204,BULDHANA,1
444301,BULDHANA,1
444303,BULDHANA,17
444304,BULDHANA,1
444306,BULDHANA,1
444307,BULDHANA,1
444308,BULDHANA,1
