pincode,upi_txn_value_per_capita
110001,239290.42
110003,24168.76
110004,239290.42
110006,104145.84
110009,27476.23
110016,34691.6
110017,24168.76
110021,34691.6
110024,24168.76
110026,58797.85
110032,38273.89
110034,27476.23
110040,27476.23
110043,34691.6
110048,24168.76
110054,104145.84
110057,34691.6
110058,58797.85
110059,58797.85
110070,34691.6
110074,34691.6
110075,34691.6
110081,27476.23
110085,27476.23
110091,38273.89
110092,38273.89
110093,38273.89
110094,38273.89
121001,73924.1
122001,175579.89
122002,175579.89
122011,175579.89
122051,175579.89
122052,175579.89
122102,175579.89
122505,175579.89
122506,175579.89
123001,39388.09
123023,39388.09
123106,64452.04
123110,64452.04
123412,64452.04
123501,64452.04
127029,19874.21
140306,8369.71
141001,16575.28
141116,16575.28
144601,10547.23
160018,19424.31
171207,9249.81
176041,8091.83
201301,152344.37
201303,152344.37
248159,34824.51
251001,13128.66
301020,20723.61
301406,20723.61
301701,20723.61
301704,20723.61
301705,20723.61
301708,20723.61
301709,20723.61
301713,20723.61
301714,20723.61
302001,73168.95
303108,73168.95
332746,33154.39
333036,33154.39
360001,11673.63
383205,9608.41
387335,6394.33
400001,30218.89
400005,30218.89
400006,30218.89
400013,30218.89
400018,30218.89
400021,30218.89
400028,30218.89
400049,30218.89
400050,30218.89
400051,30218.89
400053,30218.89
400054,30218.89
400059,30218.89
400060,30218.89
400063,30218.89
400068,30218.89
400070,30218.89
400071,30218.89
400074,30218.89
400080,30218.89
400086,30218.89
400087,30218.89
400097,30218.89
400603,32476.01
400605,32476.01
400607,32476.01
400612,32476.01
400614,32476.01
400615,32476.01
400702,36104.82
400708,32476.01
401209,32476.01
401301,32476.01
403103,43046.77
403529,43046.77
410206,36104.82
410210,36104.82
411001,86667.64
411004,86667.64
411014,86667.64
412216,86667.64
413001,52493.66
413002,52493.66
413304,52493.66
416001,19704.05
416008,19704.05
416115,19704.05
421201,32476.01
421302,32476.01
421312,32476.01
421503,32476.01
422001,48065.76
422003,48065.76
422009,48065.76
431001,58779.72
431003,58779.72
431005,58779.72
431601,33857.9
431602,33857.9
431605,33857.9
440001,44159.14
440010,44159.14
440015,44159.14
444601,29670.68
444602,29670.68
444906,29670.68
452001,84689.67
530028,154310.47
560001,186689.02
560002,186689.02
560003,186689.02
560004,186689.02
560008,186689.02
560011,186689.02
560012,186689.02
560017,186689.02
560025,186689.02
560027,186689.02
560029,186689.02
560032,186689.02
560034,186689.02
560035,186689.02
560037,186689.02
560047,186689.02
560064,186689.02
560066,186689.02
560068,186689.02
560076,186689.02
560078,186689.02
560085,186689.02
560099,186689.02
560103,186689.02
570001,60367.12
574220,30710.0
601103,14810.95
605005,15573.51
609604,9291.87
625005,11626.1
631501,21228.35
636014,15965.01
637003,13110.49
638506,11733.8
638656,11733.8
643001,11523.42
680014,6076.76
683541,14797.8
685512,8198.45
686564,6743.99
688501,6549.15
689699,6831.08
695543,8565.37
700019,41283.05
737101,21890.17
737120,29633.22
737139,12742.58
744202,7188.66
744207,32586.3
790105,39039.5
790116,36994.65
791001,17312.2
791119,15947.63
791122,15016.49
796082,5640.62
799001,9515.41
