pincode,upi_txn_count_nearby,quarter_label
110001,127777871,2026 Q2
110002,130872090,2026 Q2
110003,122144573,2026 Q2
110004,124507073,2026 Q2
110005,120765133,2026 Q2
110006,145429423,2026 Q2
110007,122621103,2026 Q2
110008,115522016,2026 Q2
110009,96573924,2026 Q2
110010,101753929,2026 Q2
110011,120412836,2026 Q2
110012,112312336,2026 Q2
110013,128667803,2026 Q2
110014,127586086,2026 Q2
110015,118779992,2026 Q2
110016,101898291,2026 Q2
110017,98237900,2026 Q2
110018,99966789,2026 Q2
110019,100520076,2026 Q2
110020,106784262,2026 Q2
110021,101381684,2026 Q2
110022,93205480,2026 Q2
110023,109655180,2026 Q2
110024,122590122,2026 Q2
110025,126466648,2026 Q2
110026,115485885,2026 Q2
110027,110301607,2026 Q2
110028,111163275,2026 Q2
110029,108402856,2026 Q2
110030,65474977,2026 Q2
110031,135546946,2026 Q2
110032,120098168,2026 Q2
110033,97158348,2026 Q2
110034,93911319,2026 Q2
110035,109987645,2026 Q2
110036,27285000,2026 Q2
110037,90684239,2026 Q2
110038,78898412,2026 Q2
110039,20127380,2026 Q2
110040,19330798,2026 Q2
110041,74653512,2026 Q2
110042,71708141,2026 Q2
110043,41008872,2026 Q2
110044,85748879,2026 Q2
110045,85919069,2026 Q2
110046,84144307,2026 Q2
110047,57610012,2026 Q2
110048,108037168,2026 Q2
110049,111405258,2026 Q2
110051,124844367,2026 Q2
110052,109692375,2026 Q2
110053,131745548,2026 Q2
110054,121516626,2026 Q2
110055,130648593,2026 Q2
110056,103092737,2026 Q2
110057,85427839,2026 Q2
110058,82966604,2026 Q2
110059,78598033,2026 Q2
110060,125317965,2026 Q2
110061,79624415,2026 Q2
110062,82659845,2026 Q2
110063,100645752,2026 Q2
110064,106725592,2026 Q2
110065,118266944,2026 Q2
110066,102145035,2026 Q2
110067,94929124,2026 Q2
110068,66807781,2026 Q2
110070,81052824,2026 Q2
110071,59810772,2026 Q2
110072,27496570,2026 Q2
110073,8451290,2026 Q2
110074,61338124,2026 Q2
110075,82442537,2026 Q2
110076,98966150,2026 Q2
110077,80396846,2026 Q2
110078,77257349,2026 Q2
110080,68442842,2026 Q2
110081,31912544,2026 Q2
110082,40071342,2026 Q2
110083,78114307,2026 Q2
110084,66187685,2026 Q2
110085,79392504,2026 Q2
110086,65866810,2026 Q2
110087,86329850,2026 Q2
110088,89698499,2026 Q2
110089,76222724,2026 Q2
110090,65510041,2026 Q2
110091,137147837,2026 Q2
110092,137114728,2026 Q2
110093,97524120,2026 Q2
110094,105474232,2026 Q2
110095,108516018,2026 Q2
110096,142320693,2026 Q2
110097,82584389,2026 Q2
110099,49421842,2026 Q2
121001,37465173,2026 Q2
121002,40137298,2026 Q2
121003,73299690,2026 Q2
121004,33140234,2026 Q2
121005,27879339,2026 Q2
121006,31842718,2026 Q2
121007,45737339,2026 Q2
121008,48571762,2026 Q2
121009,78628084,2026 Q2
121010,58180981,2026 Q2
121012,40319637,2026 Q2
121013,76182641,2026 Q2
121014,40806202,2026 Q2
121015,22374935,2026 Q2
121101,21000031,2026 Q2
121102,6898374,2026 Q2
121103,3984327,2026 Q2
121105,3645965,2026 Q2
121106,2814532,2026 Q2
121107,1557926,2026 Q2
122001,84351261,2026 Q2
122002,84863203,2026 Q2
122003,68516426,2026 Q2
122004,55766094,2026 Q2
122005,98158046,2026 Q2
122006,60261926,2026 Q2
122007,136244718,2026 Q2
122008,46281301,2026 Q2
122009,83598847,2026 Q2
122011,55201073,2026 Q2
122012,45667608,2026 Q2
122015,93740195,2026 Q2
122016,79279007,2026 Q2
122017,79269177,2026 Q2
122018,67441680,2026 Q2
122022,70781959,2026 Q2
122051,27277240,2026 Q2
122052,27460773,2026 Q2
122098,43259941,2026 Q2
122101,46951850,2026 Q2
122102,16446991,2026 Q2
122103,3528490,2026 Q2
122104,1869948,2026 Q2
122105,11432229,2026 Q2
122107,3499010,2026 Q2
122108,2823979,2026 Q2
122413,15889715,2026 Q2
122414,5573488,2026 Q2
122502,3765338,2026 Q2
122503,14196372,2026 Q2
122504,5885826,2026 Q2
122505,37142510,2026 Q2
122506,5879548,2026 Q2
122508,3090370,2026 Q2
123001,1696357,2026 Q2
123021,1271424,2026 Q2
123023,1321007,2026 Q2
123024,553390,2026 Q2
123027,850678,2026 Q2
123028,1239189,2026 Q2
123029,1543787,2026 Q2
123031,1131584,2026 Q2
123034,1101545,2026 Q2
123035,1595768,2026 Q2
123101,2729772,2026 Q2
123102,1147666,2026 Q2
123103,846442,2026 Q2
123106,11994211,2026 Q2
123110,11177956,2026 Q2
123200,462076,2026 Q2
123301,1474050,2026 Q2
123302,1092161,2026 Q2
123303,843270,2026 Q2
123304,931876,2026 Q2
123308,459345,2026 Q2
123401,5523996,2026 Q2
123411,1034607,2026 Q2
123412,3353666,2026 Q2
123500,3038129,2026 Q2
123501,5018264,2026 Q2
123502,4183898,2026 Q2
