state_name,vehicles_base,vehicles_latest,growth_4yr_pct,calibration_weight
Andaman and Nicobar Islands,10095,20035,98.5,1.1042
Andhra Pradesh,1833440,3278063,78.8,1.0561
Arunachal Pradesh,18111,34745,91.8,1.0889
Assam,311833,601373,92.9,1.0913
Bihar,592083,1068508,80.5,1.0605
Chandigarh,595500,739028,24.1,0.8333
Chhattisgarh,526161,805916,53.2,0.9762
Dadra and Nagar Haveli,7885,19092,142.1,1.1883
Daman and Diu,6208,14134,127.7,1.1631
Goa,131140,185928,41.8,0.9302
Gujarat,3030412,5057790,66.9,1.0221
Haryana,1452749,2299806,58.3,0.9943
Himachal Pradesh,175525,276464,57.5,0.9916
Jammu and Kashmir,269309,494989,83.8,1.0692
Jharkhand,361391,561082,55.3,0.9837
Karnataka,3810509,6138570,61.1,1.0037
Kerala,1845703,2973515,61.1,1.0037
Lakshadweep,600,829,38.2,0.9135
Madhya Pradesh,1362127,2357157,73.0,1.0402
Maharashtra,17336693,25076009,44.6,0.9426
Manipur,17052,44830,162.9,1.2212
Meghalaya,39851,59756,49.9,0.964
Mizoram,16741,31755,89.7,1.0838
Nagaland,19694,36343,84.5,1.071
Delhi,8154989,11310430,38.7,0.916
Odisha,700047,1064682,52.1,0.9722
Puducherry,72595,108992,50.1,0.9648
Punjab,1745312,2193078,25.7,0.8438
Rajasthan,1728246,2675229,54.8,0.9821
Sikkim,12937,25556,97.5,1.1021
Tamil Nadu,6010881,8176334,36.0,0.9031
Telangana,3044645,4558852,49.7,0.9632
Tripura,42763,90363,111.3,1.1316
Uttar Pradesh,2543474,4040930,58.9,0.9963
Uttarakhand,261773,477089,82.3,1.0652
West Bengal,2926697,3682627,25.8,0.8449
