state_name,state_code,district,population,pop_year
Andhra Pradesh,AP,Alluri Sitharama Raju,954000,2021
Andhra Pradesh,AP,Anakapalli,1727000,2021
Andhra Pradesh,AP,Ananthapuramu,2241100,2021
Andhra Pradesh,AP,Annamayya,1697300,2021
Andhra Pradesh,AP,Bapatla,1587000,2021
Andhra Pradesh,AP,Chittoor,1873000,2021
Andhra Pradesh,AP,Dr. B.R. Ambedkar Konaseema,1719100,2021
Andhra Pradesh,AP,East Godavari,1832300,2021
Andhra Pradesh,AP,Eluru,2071700,2021
Andhra Pradesh,AP,Guntur,2091000,2021
Andhra Pradesh,AP,Kakinada,2092300,2021
Andhra Pradesh,AP,Krishna,1735000,2021
Andhra Pradesh,AP,Kurnool,2271700,2021
Andhra Pradesh,AP,Nandyal,1781800,2021
Andhra Pradesh,AP,Nellore,2469700,2021
Andhra Pradesh,AP,NTR,2218000,2021
Andhra Pradesh,AP,Palnadu,2042000,2021
Andhra Pradesh,AP,Parvathipuram Manyam,925300,2021
Andhra Pradesh,AP,Prakasam,2288000,2021
Andhra Pradesh,AP,Srikakulam,2191471,2021
Andhra Pradesh,AP,Sri Sathya Sai,1840000,2021
Andhra Pradesh,AP,Tirupati,2197000,2021
Andhra Pradesh,AP,Visakhapatnam,1959500,2021
Andhra Pradesh,AP,Vizianagaram,1930800,2021
Andhra Pradesh,AP,West Godavari,1780000,2021
Andhra Pradesh,AP,YSR Kadapa,2060700,2021
Andhra Pradesh,AP,Polavaram,954000,2021
Andhra Pradesh,AP,Markapuram,1142313,2021
Arunachal Pradesh,AR,Anjaw,21089,2011
Arunachal Pradesh,AR,Changlang,147951,2011
Arunachal Pradesh,AR,East Kameng,78413,2011
Arunachal Pradesh,AR,East Siang,99019,2011
Arunachal Pradesh,AR,Kamle,22256,2011
Arunachal Pradesh,AR,Kra Daadi,22290,2011
Arunachal Pradesh,AR,Kurung Kumey,89717,2011
Arunachal Pradesh,AR,Lohit,145538,2011
Arunachal Pradesh,AR,Longding,60000,2011
Arunachal Pradesh,AR,Lower Dibang Valley,53986,2011
Arunachal Pradesh,AR,Lower Siang,22630,2011
Arunachal Pradesh,AR,Lower Subansiri,82839,2011
Arunachal Pradesh,AR,Namsai,95950,2011
Arunachal Pradesh,AR,Pakke-Kessang,15358,2011
Arunachal Pradesh,AR,Papum Pare,176385,2011
Arunachal Pradesh,AR,Shi Yomi,13310,2011
Arunachal Pradesh,AR,Siang,31920,2011
Arunachal Pradesh,AR,Tawang,49950,2011
Arunachal Pradesh,AR,Tirap,111997,2011
Arunachal Pradesh,AR,Upper Dibang Valley,8004,2011
Arunachal Pradesh,AR,Upper Siang,35289,2011
Arunachal Pradesh,AR,Upper Subansiri,83205,2011
Arunachal Pradesh,AR,West Kameng,87013,2011
Arunachal Pradesh,AR,West Siang,112272,2011
Arunachal Pradesh,AR,Keyi Panyor,30000,2011
Arunachal Pradesh,AR,Bichom,9710,2011
Assam,AS,Baksa,953773,2011
Assam,AS,Bajali,253816,2011
Assam,AS,Barpeta,1693622,2011
Assam,AS,Biswanath,612491,2011
Assam,AS,Bongaigaon,732639,2011
Assam,AS,Cachar,1736319,2011
Assam,AS,Charaideo,471418,2011
Assam,AS,Chirang,481818,2011
Assam,AS,Darrang,908090,2011
Assam,AS,Dhemaji,688077,2011
Assam,AS,Dhubri,1948632,2011
Assam,AS,Dibrugarh,1327748,2011
Assam,AS,Dima Hasao,213529,2011
Assam,AS,Goalpara,1008959,2011
Assam,AS,Golaghat,1058674,2011
Assam,AS,Hailakandi,659260,2011
Assam,AS,Hojai,931218,2011
Assam,AS,Jorhat,1091295,2011
Assam,AS,Kamrup,1517202,2011
Assam,AS,Kamrup Metropolitan,1260419,2011
Assam,AS,Karbi Anglong,965280,2011
Assam,AS,Karimganj,1217002,2011
Assam,AS,Kokrajhar,886999,2011
Assam,AS,Lakhimpur,1040644,2011
Assam,AS,Majuli,167304,2011
Assam,AS,Morigaon,957853,2011
Assam,AS,Nagaon,2826006,2011
Assam,AS,Nalbari,769919,2011
Assam,AS,Sivasagar,1150253,2011
Assam,AS,Sonitpur,1925975,2011
Assam,AS,South Salmara-Mankachar,555114,2011
Assam,AS,Tamulpur,389150,2011
Assam,AS,Tinsukia,1316948,2011
Assam,AS,Udalguri,832769,2011
Assam,AS,West Karbi Anglong,300320,2011
Bihar,BR,Araria,2806200,2011
Bihar,BR,Arwal,700843,2011
Bihar,BR,Aurangabad,2511243,2011
Bihar,BR,Banka,2029339,2011
Bihar,BR,Begusarai,2954367,2011
Bihar,BR,Bhagalpur,3032226,2011
Bihar,BR,Bhojpur,2720155,2011
Bihar,BR,Buxar,1707643,2011
Bihar,BR,Darbhanga,3921971,2011
Bihar,BR,East Champaran,5082868,2011
Bihar,BR,Gaya,4379383,2011
Bihar,BR,Gopalganj,2558037,2011
Bihar,BR,Jamui,1756078,2011
Bihar,BR,Jehanabad,1124176,2011
Bihar,BR,Kaimur,1626900,2011
Bihar,BR,Katihar,3068149,2011
Bihar,BR,Khagaria,1657599,2011
Bihar,BR,Kishanganj,1690948,2011
Bihar,BR,Lakhisarai,1000717,2011
Bihar,BR,Madhepura,1994618,2011
Bihar,BR,Madhubani,4476044,2011
Bihar,BR,Munger,1359054,2011
Bihar,BR,Muzaffarpur,4778610,2011
Bihar,BR,Nalanda,2872523,2011
Bihar,BR,Nawada,2216653,2011
Bihar,BR,Patna,5772804,2011
Bihar,BR,Purnia,3273127,2011
Bihar,BR,Rohtas,2962593,2011
Bihar,BR,Saharsa,1897102,2011
Bihar,BR,Samastipur,4254782,2011
Bihar,BR,Saran,3943098,2011
Bihar,BR,Sheikhpura,634927,2011
Bihar,BR,Sheohar,656916,2011
Bihar,BR,Sitamarhi,3419622,2011
Bihar,BR,Siwan,3318176,2011
Bihar,BR,Supaul,2228397,2011
Bihar,BR,Vaishali,3495021,2011
Bihar,BR,West Champaran,3935042,2011
Chhattisgarh,CG,Balod,826165,2011
Chhattisgarh,CG,Baloda Bazar,1305343,2011
Chhattisgarh,CG,Balrampur-Ramanujganj,730491,2011
Chhattisgarh,CG,Bastar,834873,2011
Chhattisgarh,CG,Bemetara,795759,2011
Chhattisgarh,CG,Bijapur,229832,2011
Chhattisgarh,CG,Bilaspur,1961922,2011
Chhattisgarh,CG,Dantewada,533638,2011
Chhattisgarh,CG,Dhamtari,799199,2011
Chhattisgarh,CG,Durg,1721726,2011
Chhattisgarh,CG,Gariaband,597653,2011
Chhattisgarh,CG,Gaurela-Pendra-Marwahi,336420,2011
Chhattisgarh,CG,Janjgir-Champa,1620632,2011
Chhattisgarh,CG,Jashpur,852043,2011
Chhattisgarh,CG,Kabirdham,584667,2011
Chhattisgarh,CG,Kanker,748593,2011
Chhattisgarh,CG,Khairagarh-Chhuikhadan-Gandai,368444,2011
Chhattisgarh,CG,Kondagaon,578326,2011
Chhattisgarh,CG,Korba,1206563,2011
Chhattisgarh,CG,Korea,659039,2011
Chhattisgarh,CG,Mahasamund,1032275,2011
Chhattisgarh,CG,Manendragarh-Chirmiri-Bharatpur,381287,2011
Chhattisgarh,CG,Mohla-Manpur-Ambagarh Chowki,283947,2011
Chhattisgarh,CG,Mungeli,701707,2011
Chhattisgarh,CG,Narayanpur,140206,2011
Chhattisgarh,CG,Raigarh,1493627,2011
Chhattisgarh,CG,Raipur,2160876,2011
Chhattisgarh,CG,Rajnandgaon,1537520,2011
Chhattisgarh,CG,Sarangarh-Bilaigarh,607434,2011
Chhattisgarh,CG,Sakti,653036,2011
Chhattisgarh,CG,Sukma,250159,2011
Chhattisgarh,CG,Surajpur,789043,2011
Chhattisgarh,CG,Surguja,839661,2011
Goa,GA,North Goa,817761,2011
Goa,GA,South Goa,639962,2011
Goa,GA,Kushavati,220000,2011
Gujarat,GJ,Ahmedabad,7208200,2011
Gujarat,GJ,Amreli,1513614,2011
Gujarat,GJ,Anand,2090276,2011
Gujarat,GJ,Aravalli,1051746,2011
Gujarat,GJ,Banaskantha,3116045,2011
Gujarat,GJ,Bharuch,1550822,2011
Gujarat,GJ,Bhavnagar,2877961,2011
Gujarat,GJ,Botad,656005,2011
Gujarat,GJ,Chhota Udaipur,1071831,2011
Gujarat,GJ,Dahod,2126558,2011
Gujarat,GJ,Dang,226769,2011
Gujarat,GJ,Devbhumi Dwarka,752484,2011
Gujarat,GJ,Gandhinagar,1387478,2011
Gujarat,GJ,Gir Somnath,1217477,2011
Gujarat,GJ,Jamnagar,2159130,2011
Gujarat,GJ,Junagadh,2742291,2011
Gujarat,GJ,Kheda,2298934,2011
Gujarat,GJ,Kutch,2090313,2011
Gujarat,GJ,Mahisagar,994624,2011
Gujarat,GJ,Mehsana,2027727,2011
Gujarat,GJ,Morbi,960329,2011
Gujarat,GJ,Narmada,590379,2011
Gujarat,GJ,Navsari,1330711,2011
Gujarat,GJ,Panchmahal,2388267,2011
Gujarat,GJ,Patan,1342746,2011
Gujarat,GJ,Porbandar,586062,2011
Gujarat,GJ,Rajkot,3157676,2011
Gujarat,GJ,Sabarkantha,2427346,2011
Gujarat,GJ,Surat,6081322,2011
Gujarat,GJ,Surendranagar,1755873,2011
Gujarat,GJ,Tapi,806489,2011
Gujarat,GJ,Vadodara,3639775,2011
Gujarat,GJ,Valsad,1703068,2011
Gujarat,GJ,Vav-Tharad,1380870,2011
Haryana,HR,Ambala,1136784,2011
Haryana,HR,Bhiwani,1629109,2011
Haryana,HR,Charkhi Dadri,502276,2011
Haryana,HR,Faridabad,1798954,2011
Haryana,HR,Fatehabad,941522,2011
Haryana,HR,Gurugram,1514085,2011
Haryana,HR,Hisar,1742815,2011
Haryana,HR,Jhajjar,956907,2011
Haryana,HR,Jind,1332042,2011
Haryana,HR,Kaithal,1072861,2011
Haryana,HR,Karnal,1506323,2011
Haryana,HR,Kurukshetra,964231,2011
Haryana,HR,Mahendragarh,921680,2011
Haryana,HR,Nuh,1089406,2011
Haryana,HR,Palwal,1040493,2011
Haryana,HR,Panchkula,558890,2011
Haryana,HR,Panipat,1202811,2011
Haryana,HR,Rewari,896129,2011
Haryana,HR,Rohtak,1058683,2011
Haryana,HR,Sirsa,1295114,2011
Haryana,HR,Sonipat,1480080,2011
Haryana,HR,Yamunanagar,1214162,2011
Haryana,HR,Hansi,540994,2011
Himachal Pradesh,HP,Bilaspur,382056,2011
Himachal Pradesh,HP,Chamba,518844,2011
Himachal Pradesh,HP,Hamirpur,454293,2011
Himachal Pradesh,HP,Kangra,1507223,2011
Himachal Pradesh,HP,Kinnaur,84298,2011
Himachal Pradesh,HP,Kullu,437474,2011
Himachal Pradesh,HP,Lahaul and Spiti,18528,2011
Himachal Pradesh,HP,Mandi,999518,2011
Himachal Pradesh,HP,Shimla,813384,2011
Himachal Pradesh,HP,Sirmaur,530164,2011
Himachal Pradesh,HP,Solan,576670,2011
Himachal Pradesh,HP,Una,521057,2011
Jharkhand,JH,Bokaro,2061918,2011
Jharkhand,JH,Chatra,1042304,2011
Jharkhand,JH,Deoghar,1491879,2011
Jharkhand,JH,Dhanbad,2682662,2011
Jharkhand,JH,Dumka,1321096,2011
Jharkhand,JH,East Singhbhum,2291032,2011
Jharkhand,JH,Garhwa,1322387,2011
Jharkhand,JH,Giridih,2445203,2011
Jharkhand,JH,Godda,1311382,2011
Jharkhand,JH,Gumla,1025656,2011
Jharkhand,JH,Hazaribag,1734495,2011
Jharkhand,JH,Jamtara,790207,2011
Jharkhand,JH,Khunti,530299,2011
Jharkhand,JH,Koderma,716259,2011
Jharkhand,JH,Latehar,725673,2011
Jharkhand,JH,Lohardaga,461738,2011
Jharkhand,JH,Pakur,899200,2011
Jharkhand,JH,Palamu,1936319,2011
Jharkhand,JH,Ramgarh,949159,2011
Jharkhand,JH,Ranchi,2912022,2011
Jharkhand,JH,Sahibganj,1150038,2011
Jharkhand,JH,Seraikela-Kharsawan,1063458,2011
Jharkhand,JH,Simdega,599813,2011
Jharkhand,JH,West Singhbhum,1501619,2011
Karnataka,KA,Bagalkot,1890826,2011
Karnataka,KA,Ballari,1400970,2011
Karnataka,KA,Belagavi,4778439,2011
Karnataka,KA,Bangalore Rural,987257,2011
Karnataka,KA,Bangalore Urban,9588910,2011
Karnataka,KA,Bidar,1700018,2011
Karnataka,KA,Chamarajanagar,1020962,2011
Karnataka,KA,Chikkaballapur,1254377,2011
Karnataka,KA,Chikmagalur,1137753,2011
Karnataka,KA,Chitradurga,1660378,2011
Karnataka,KA,Dakshina Kannada,2083625,2011
Karnataka,KA,Davanagere,1643494,2011
Karnataka,KA,Dharwad,1846993,2011
Karnataka,KA,Gadaga,1065235,2011
Karnataka,KA,Kalaburagi,2564892,2011
Karnataka,KA,Hassan,1776221,2011
Karnataka,KA,Haveri,1598506,2011
Karnataka,KA,Kodagu,554762,2011
Karnataka,KA,Kolar,1540231,2011
Karnataka,KA,Koppal,1391292,2011
Karnataka,KA,Mandya,1808680,2011
Karnataka,KA,Mysore,2994744,2011
Karnataka,KA,Raichur,1924773,2011
Karnataka,KA,Ramanagara,1082739,2011
Karnataka,KA,Shimoga,1755512,2011
Karnataka,KA,Tumakuru,2681449,2011
Karnataka,KA,Udupi,1177908,2011
Karnataka,KA,Uttara Kannada,1353299,2011
Karnataka,KA,Vijayanagara,1353628,2011
Karnataka,KA,Bijapur,2175102,2011
Karnataka,KA,Yadgir,1172985,2011
Kerala,KL,Alappuzha,2121943,2011
Kerala,KL,Ernakulam,3279860,2011
Kerala,KL,Idukki,1107453,2011
Kerala,KL,Kannur,2525637,2011
Kerala,KL,Kasaragod,1302600,2011
Kerala,KL,Kollam,2629703,2011
Kerala,KL,Kottayam,1979384,2011
Kerala,KL,Kozhikode,3089543,2011
Kerala,KL,Malappuram,4110956,2011
Kerala,KL,Palakkad,2810892,2011
Kerala,KL,Pathanamthitta,1195537,2011
Kerala,KL,Thiruvananthapuram,3307284,2011
Kerala,KL,Thrissur,3110327,2011
Kerala,KL,Wayanad,816558,2011
Madhya Pradesh,MP,Agar Malwa,571275,2011
Madhya Pradesh,MP,Alirajpur,728677,2011
Madhya Pradesh,MP,Anuppur,749521,2011
Madhya Pradesh,MP,Ashoknagar,844979,2011
Madhya Pradesh,MP,Balaghat,1701156,2011
Madhya Pradesh,MP,Barwani,1385659,2011
Madhya Pradesh,MP,Betul,1575247,2011
Madhya Pradesh,MP,Bhind,1703562,2011
Madhya Pradesh,MP,Bhopal,2368145,2011
Madhya Pradesh,MP,Burhanpur,756993,2011
Madhya Pradesh,MP,Chhatarpur,1762857,2011
Madhya Pradesh,MP,Chhindwara,2090306,2011
Madhya Pradesh,MP,Damoh,1263703,2011
Madhya Pradesh,MP,Datia,786375,2011
Madhya Pradesh,MP,Dewas,1563107,2011
Madhya Pradesh,MP,Dhar,2184672,2011
Madhya Pradesh,MP,Dindori,704218,2011
Madhya Pradesh,MP,Guna,1240938,2011
Madhya Pradesh,MP,Gwalior,2030543,2011
Madhya Pradesh,MP,Harda,570302,2011
Madhya Pradesh,MP,Hoshangabad,1240975,2011
Madhya Pradesh,MP,Indore,3272335,2011
Madhya Pradesh,MP,Jabalpur,2460714,2011
Madhya Pradesh,MP,Jhabua,1024091,2011
Madhya Pradesh,MP,Katni,1291684,2011
Madhya Pradesh,MP,Khandwa,1309443,2011
Madhya Pradesh,MP,Khargone,1872413,2011
Madhya Pradesh,MP,Maihar,856028,2011
Madhya Pradesh,MP,Mandla,1053522,2011
Madhya Pradesh,MP,Mandsaur,1339832,2011
Madhya Pradesh,MP,Mauganj,616645,2011
Madhya Pradesh,MP,Morena,1965137,2011
Madhya Pradesh,MP,Narsinghpur,1092141,2011
Madhya Pradesh,MP,Neemuch,825958,2011
Madhya Pradesh,MP,Niwari,404807,2011
Madhya Pradesh,MP,Panna,1016028,2011
Madhya Pradesh,MP,Pandhurna,374310,2011
Madhya Pradesh,MP,Raisen,1331699,2011
Madhya Pradesh,MP,Rajgarh,1546541,2011
Madhya Pradesh,MP,Ratlam,1454483,2011
Madhya Pradesh,MP,Rewa,2363744,2011
Madhya Pradesh,MP,Sagar,2378295,2011
Madhya Pradesh,MP,Satna,2228619,2011
Madhya Pradesh,MP,Sehore,1311008,2011
Madhya Pradesh,MP,Seoni,1378876,2011
Madhya Pradesh,MP,Shahdol,1064989,2011
Madhya Pradesh,MP,Shajapur,1512353,2011
Madhya Pradesh,MP,Sheopur,687952,2011
Madhya Pradesh,MP,Shivpuri,1725818,2011
Madhya Pradesh,MP,Sidhi,1126515,2011
Madhya Pradesh,MP,Singrauli,1178132,2011
Madhya Pradesh,MP,Tikamgarh,1444920,2011
Madhya Pradesh,MP,Ujjain,1986864,2011
Madhya Pradesh,MP,Umaria,643579,2011
Madhya Pradesh,MP,Vidisha,1458212,2011
Maharashtra,MH,Ahmednagar,4543083,2011
Maharashtra,MH,Akola,1818617,2011
Maharashtra,MH,Amravati,2887826,2011
Maharashtra,MH,Aurangabad,3695928,2011
Maharashtra,MH,Beed,2585962,2011
Maharashtra,MH,Bhandara,1198810,2011
Maharashtra,MH,Buldhana,2588039,2011
Maharashtra,MH,Chandrapur,2194262,2011
Maharashtra,MH,Osmanabad,1660311,2011
Maharashtra,MH,Dhule,2048781,2011
Maharashtra,MH,Gadchiroli,1071795,2011
Maharashtra,MH,Gondia,1322331,2011
Maharashtra,MH,Hingoli,1178973,2011
Maharashtra,MH,Jalgaon,4229917,2011
Maharashtra,MH,Jalna,1958483,2011
Maharashtra,MH,Kolhapur,3874015,2011
Maharashtra,MH,Latur,2455543,2011
Maharashtra,MH,Mumbai City,3145966,2011
Maharashtra,MH,Mumbai Suburban,9332481,2011
Maharashtra,MH,Nanded,3356566,2011
Maharashtra,MH,Nandurbar,1646177,2011
Maharashtra,MH,Nagpur,4653171,2011
Maharashtra,MH,Nashik,6109052,2011
Maharashtra,MH,Palghar,2990116,2011
Maharashtra,MH,Parbhani,1835982,2011
Maharashtra,MH,Pune,9426959,2011
Maharashtra,MH,Raigad,2635394,2011
Maharashtra,MH,Ratnagiri,1612672,2011
Maharashtra,MH,Sangli,2820575,2011
Maharashtra,MH,Satara,3003922,2011
Maharashtra,MH,Sindhudurg,848868,2011
Maharashtra,MH,Solapur,4315527,2011
Maharashtra,MH,Thane,8070032,2011
Maharashtra,MH,Wardha,1296157,2011
Maharashtra,MH,Washim,1196714,2011
Maharashtra,MH,Yavatmal,2775457,2011
Manipur,MN,Bishnupur,240363,2011
Manipur,MN,Chandel,144028,2011
Manipur,MN,Churachandpur,271274,2011
Manipur,MN,Imphal East,452661,2011
Manipur,MN,Imphal West,514683,2011
Manipur,MN,Jiribam,43818,2011
Manipur,MN,Kakching,135481,2011
Manipur,MN,Kamjong,45616,2011
Manipur,MN,Kangpokpi,193744,2011
Manipur,MN,Pherzawl,47250,2011
Manipur,MN,Senapati,354772,2011
