pincode,district,state_name,state_code
110001,Central Delhi,Delhi,DL
110002,Central Delhi,Delhi,DL
110003,South Delhi,Delhi,DL
110004,Central Delhi,Delhi,DL
110005,Central Delhi,Delhi,DL
110006,North Delhi,Delhi,DL
110007,North Delhi,Delhi,DL
110008,Central Delhi,Delhi,DL
110009,North West Delhi,Delhi,DL
110010,South West Delhi,Delhi,DL
110011,Central Delhi,Delhi,DL
110012,Central Delhi,Delhi,DL
110013,South Delhi,Delhi,DL
110014,South Delhi,Delhi,DL
110015,West Delhi,Delhi,DL
110016,South West Delhi,Delhi,DL
110017,South Delhi,Delhi,DL
110018,West Delhi,Delhi,DL
110019,South Delhi,Delhi,DL
110020,South Delhi,Delhi,DL
110021,South West Delhi,Delhi,DL
110022,South West Delhi,Delhi,DL
110023,South West Delhi,Delhi,DL
110024,South Delhi,Delhi,DL
110025,South Delhi,Delhi,DL
110026,West Delhi,Delhi,DL
110027,West Delhi,Delhi,DL
110028,South West Delhi,Delhi,DL
110029,South West Delhi,Delhi,DL
110030,South West Delhi,Delhi,DL
110031,East Delhi,Delhi,DL
110032,East Delhi,Delhi,DL
110033,North West Delhi,Delhi,DL
110034,North West Delhi,Delhi,DL
110035,North West Delhi,Delhi,DL
110036,North West Delhi,Delhi,DL
110037,South West Delhi,Delhi,DL
110038,South West Delhi,Delhi,DL
110039,North West Delhi,Delhi,DL
110040,North West Delhi,Delhi,DL
110041,West Delhi,Delhi,DL
110042,North West Delhi,Delhi,DL
110043,South West Delhi,Delhi,DL
110044,South Delhi,Delhi,DL
110045,South West Delhi,Delhi,DL
110046,South West Delhi,Delhi,DL
110047,South West Delhi,Delhi,DL
110048,South Delhi,Delhi,DL
110049,South Delhi,Delhi,DL
110051,East Delhi,Delhi,DL
110052,North West Delhi,Delhi,DL
110053,East Delhi,Delhi,DL
110054,North Delhi,Delhi,DL
110055,Central Delhi,Delhi,DL
110056,North West Delhi,Delhi,DL
110057,South West Delhi,Delhi,DL
110058,West Delhi,Delhi,DL
110059,West Delhi,Delhi,DL
110060,Central Delhi,Delhi,DL
110061,South West Delhi,Delhi,DL
110062,South Delhi,Delhi,DL
110063,West Delhi,Delhi,DL
110064,West Delhi,Delhi,DL
110065,South Delhi,Delhi,DL
110066,South West Delhi,Delhi,DL
110067,South West Delhi,Delhi,DL
110068,South West Delhi,Delhi,DL
110069,Central Delhi,Delhi,DL
110070,South West Delhi,Delhi,DL
110071,South West Delhi,Delhi,DL
110072,South West Delhi,Delhi,DL
110073,South West Delhi,Delhi,DL
110074,South West Delhi,Delhi,DL
110075,South West Delhi,Delhi,DL
110076,South Delhi,Delhi,DL
110077,South West Delhi,Delhi,DL
110078,South West Delhi,Delhi,DL
110080,South Delhi,Delhi,DL
110081,North West Delhi,Delhi,DL
110082,North West Delhi,Delhi,DL
110083,North West Delhi,Delhi,DL
110084,North Delhi,Delhi,DL
110085,North West Delhi,Delhi,DL
110086,North West Delhi,Delhi,DL
110087,West Delhi,Delhi,DL
110088,North West Delhi,Delhi,DL
110089,North West Delhi,Delhi,DL
110090,East Delhi,Delhi,DL
110091,East Delhi,Delhi,DL
110092,East Delhi,Delhi,DL
110093,East Delhi,Delhi,DL
110094,East Delhi,Delhi,DL
110095,East Delhi,Delhi,DL
110096,East Delhi,Delhi,DL
110097,South West Delhi,Delhi,DL
121001,Faridabad,Haryana,HR
121002,Faridabad,Haryana,HR
121003,Faridabad,Haryana,HR
