postal_district,state,hces_district,match_method,score
Central Delhi,DELHI,CENTRAL,exact,1.0
South Delhi,DELHI,SOUTH,exact,1.0
North Delhi,DELHI,NORTH,exact,1.0
North West Delhi,DELHI,NORTH WEST,exact,1.0
South West Delhi,DELHI,SOUTH WEST,exact,1.0
West Delhi,DELHI,WEST,exact,1.0
East Delhi,DELHI,EAST,exact,1.0
Faridabad,HARYANA,FARIDABAD,exact,1.0
Gurgaon,HARYANA,GURGAON,exact,1.0
Mahendragarh,HARYANA,MAHENDRAGARH,exact,1.0
Rewari,HARYANA,REWARI,exact,1.0
Rohtak,HARYANA,ROHTAK,exact,1.0
Jhajjar,HARYANA,JHAJJAR,exact,1.0
Hisar,HARYANA,HISAR,exact,1.0
Fatehabad,HARYANA,FATEHABAD,exact,1.0
Sirsa,HARYANA,SIRSA,exact,1.0
Jind,HARYANA,JIND,exact,1.0
Bhiwani,HARYANA,BHIWANI,exact,1.0
Sonipat,HARYANA,SONIPAT,exact,1.0
Karnal,HARYANA,KARNAL,exact,1.0
Panipat,HARYANA,PANIPAT,exact,1.0
Ambala,HARYANA,AMBALA,exact,1.0
Yamuna Nagar,HARYANA,YAMUNANAGAR,fuzzy,0.957
Panchkula,HARYANA,PANCHKULA,exact,1.0
Kaithal,HARYANA,KAITHAL,exact,1.0
Kurukshetra,HARYANA,KURUKSHETRA,exact,1.0
Rupnagar,PUNJAB,RUPNAGAR,exact,1.0
Ropar,PUNJAB,,unmatched,0.0
Mohali,PUNJAB,,unmatched,0.0
Patiala,PUNJAB,PATIALA,exact,1.0
Fatehgarh Sahib,PUNJAB,FATEHGARH SAHIB,exact,1.0
Ludhiana,PUNJAB,LUDHIANA,exact,1.0
Moga,PUNJAB,MOGA,exact,1.0
Firozpur,PUNJAB,FIROZPUR,exact,1.0
Amritsar,PUNJAB,AMRITSAR,exact,1.0
Tarn Taran,PUNJAB,TARN TARAN,exact,1.0
Gurdaspur,PUNJAB,GURDASPUR,exact,1.0
Jalandhar,PUNJAB,JALANDHAR,exact,1.0
Hoshiarpur,PUNJAB,HOSHIARPUR,exact,1.0
