Sr.No.|Region|State|District|Sub District|Center|Bank Group|Bank Name|Banking Channel Name|Part 1 Code|Part 2 Code|Population Group|AD Category|License Number|License Date|Address|Banking Channel Type|Sub Type|MICR Code|IFSC Code|Date of opening
2563|WESTERN REGION|MAHARASHTRA|MUMBAI SUBURBAN|NO BLOCK|GREATER MUMBAI (M CORP.) (PART)|PUBLIC SECTOR BANKS|BANK OF BARODA|"MIDC ANDHERI EAST, MUMBAI"|0204561|2910009|METROPOLITAN||DBOD.BL.No.2542/22.03.011/2010-11 |2011-08-16 00:00:00|"OPP SUNCITY HOTEL ANDHERI EAST PLOT NO. 96, ROAD NO 16, MIDC,-1,MUMBAI SUBURBAN,MAHARASHTRA,400093"|BRANCH||400012195|BARB0INDAND|2013-03-26 00:00:00
2564|WESTERN REGION|MAHARASHTRA|PALGHAR|VASAI|VASAI-VIRAR CITY (M CORP)|PUBLIC SECTOR BANKS|BANK OF BARODA|VIRAR EAST|0204562|3820729|METROPOLITAN||DBOD.BL.No.2542/22.03.011/2010-11|2011-08-16 00:00:00|"MANVEL PADA, VIRAR EAST GROUND FLOOR, VIDYA SADAN,-1,PALGHAR,MAHARASHTRA,401305"|BRANCH||400012194|BARB0VIREAS|2012-12-31 00:00:00
2565|WESTERN REGION|MAHARASHTRA|SATARA|SATARA|KARANJE TARF SATARA (CT)|PUBLIC SECTOR BANKS|BANK OF BARODA|SHAHUPURI KARANJE|0204579|6151214|SEMI URBAN||||"SHAHUPURI ROAD, GENDAMAL SHAHUPURI BANK OF BARODA, 85, GANARAYA HOUSING SOCIETY SHAHUPURI KARANJE,-1,SATARA,MAHARASHTRA,415002"|BRANCH||415012002|BARB0SHASAT|2013-09-05 00:00:00
2566|WESTERN REGION|MAHARASHTRA|THANE|THANE|MIRA-BHAYANDAR (M CORP.)|PUBLIC SECTOR BANKS|BANK OF BARODA|"MIRA BHAYANDAR ROAD, MIRA ROAD"|0204581|6010178|URBAN||DBOD.BL.No.2542/22.03.011/2010-11|2011-08-16 00:00:00|"KANAKIA ROAD RITU HORIZON WING -A, 100 FEET,MIRA-BHAYANDER CROSS ROAD,-1,THANE,MAHARASHTRA,401107"|BRANCH||400012197|BARB0MIRBHA|2012-12-29 00:00:00
2567|WESTERN REGION|MAHARASHTRA|MUMBAI SUBURBAN|NO BLOCK|GREATER MUMBAI (M CORP.) (PART)|PUBLIC SECTOR BANKS|BANK OF BARODA|"MAROL MAROSHI, ANDHERI EAST"|0204582|2910009|METROPOLITAN||DBOD.BL.No.2542/22.03.011/2010-11|2019-10-24 15:35:51|"MAROL MAROSHI, ANDHERI EAST SARLA SOFTWARE PARK, PLOT 369 MAROL MAROSHI, ANDHERI EAST,-1,MUMBAI SUBURBAN,MAHARASHTRA,400059"|BRANCH||400012196|BARB0MARMAR|2013-03-30 00:00:00
2568|WESTERN REGION|MAHARASHTRA|THANE|AMBARNATH|VANGANI (CT)|PUBLIC SECTOR BANKS|BANK OF BARODA|VANGANI|0204583|6010503|SEMI URBAN||||"PASHANE ROAD JIJAI NIWAS, SAMARTH MARKET VANGANI,-1,THANE,MAHARASHTRA,421503"|BRANCH||400012198|BARB0VANGAN|2012-12-31 00:00:00
2569|WESTERN REGION|MAHARASHTRA|PUNE|PUNE CITY|PUNE (M CORP.)|PUBLIC SECTOR BANKS|BANK OF BARODA|"BHANDARKAR ROAD , PUNE"|0204616|6200019|METROPOLITAN||DBOD.BL.No.2542/22.03.011/2010-11|2011-08-16 00:00:00|"BHANDARKAR INSTITUTE ROAD, BANK OF BARODA, T.P.SCHEME NO 1, S.NO.771/A,T.P.NO.227/A,-1,PUNE,MAHARASHTRA,411004"|BRANCH||411012050|BARB0BHAPUN|2013-07-06 00:00:00
2570|WESTERN REGION|MAHARASHTRA|PUNE|PUNE CITY|PUNE (M CORP.)|PUBLIC SECTOR BANKS|BANK OF BARODA|"KALEWADI, PUNE"|0204618|6200019|METROPOLITAN||DBOD.BL.No.8798/22.03.011/2012-13                 |2012-12-19 00:00:00|"KALEWADI CHOWK S NO. 210, PRIDE PURPLE SQUARE BUILDING,-1,PUNE,MAHARASHTRA,411057"|BRANCH||411012049|BARB0KALEWA|2013-07-20 00:00:00
2571|WESTERN REGION|MAHARASHTRA|NAGPUR|RAMTEK|RAMTEK (M CL)|PUBLIC SECTOR BANKS|BANK OF BARODA|RAMTEK|0204619|6400044|SEMI URBAN||DBODN 0.BAPD.8798/22.03.011/2012-13|2012-12-19 00:00:00|"RAMTEK, DIST NAGPUR TILAK WARD, NEAR BUS STAND,,-1,NAGPUR,MAHARASHTRA,441106"|BRANCH||441012502|BARB0RAMTEK|2013-03-30 00:00:00
2572|WESTERN REGION|MAHARASHTRA|NAGPUR|PARSEONI|PARSHIVNI|PUBLIC SECTOR BANKS|BANK OF BARODA|PARSHIVNI|0204620|6400243|SEMI URBAN||DBODN 0.BAPD.8798/22.03.011/2012-13|2012-12-19 00:00:00|"OPP BUS STAND PLOT NO 2780, WARD NO 6 PARSHIVNI,-1,NAGPUR,MAHARASHTRA,441105"|BRANCH||441012503|BARB0PARSHI|2013-03-30 00:00:00
2573|WESTERN REGION|MAHARASHTRA|NAGPUR|UMRED|UMRED (M CL)|PUBLIC SECTOR BANKS|BANK OF BARODA|UMRED|0204621|6400865|SEMI URBAN||DBODN 0.BAPD.8798/22.03.011/2012-13|2012-12-19 00:00:00|"UMRED BELGAUM RD, NR MSEB OFFICE PLOT NO.10, ADYALWALE LAY OUT UMRED,-1,NAGPUR,MAHARASHTRA,441203"|BRANCH||441012252|BARB0UMREDX|2013-03-28 00:00:00
2574|WESTERN REGION|MAHARASHTRA|CHHATRAPATI SAMBHAJINAGAR|VAIJAPUR|VAIJAPUR (M CL)|PUBLIC SECTOR BANKS|BANK OF BARODA|VAIJAPUR|0204645|6240034|SEMI URBAN||||"NEARBY MHASOBA CHOWK,CHH.SAMBHAJINAGAR-NASHIBK-MUMBAI HIGHWAY,VAIJAPUR VAIJAPUR,-1,CHHATRAPATI SAMBHAJINAGAR,MAHARASHTRA,423701"|BRANCH||431012507|BARB0VAIJAP|2013-07-20 00:00:00
2575|WESTERN REGION|MAHARASHTRA|MUMBAI SUBURBAN|NO BLOCK|GREATER MUMBAI (M CORP.) (PART)|PUBLIC SECTOR BANKS|BANK OF BARODA|"SAIBABA NAGAR, BORIVALI (WEST), MUMBAI"|0204708|2910009|METROPOLITAN||DBOD.BL.No.2542/22.03.011/2010-11         |2011-08-16 00:00:00|"SAIBABA MANDIR ROAD, BORIVALI (WEST) SHOP NO.1,2,3 A, BAKUL TULIP CHSL, NEAR SAIBABA NAGAR,,-1,MUMBAI SUBURBAN,MAHARASHTRA,400092"|BRANCH||400012199|BARB0SAIMUM|2013-07-19 00:00:00
2576|WESTERN REGION|MAHARASHTRA|MUMBAI SUBURBAN|NO BLOCK|GREATER MUMBAI (M CORP.) (PART)|PUBLIC SECTOR BANKS|BANK OF BARODA|"VIKROLI (WEST), MUMBAI"|0204732|2910009|METROPOLITAN||DBOD.BL.No.2542/22.03.011/2010-11|2011-08-16 00:00:00|"LBS ROAD VIKHROLI SHIVKRUPA INDUSTRIAL LBS ROAD, VIKROLI(W), MUMBAI,-1,MUMBAI SUBURBAN,MAHARASHTRA,400079"|BRANCH||400012201|BARB0VIKHRO|2013-07-20 00:00:00
2577|WESTERN REGION|MAHARASHTRA|SOLAPUR|PANDHARPUR|KAUTHALI|PUBLIC SECTOR BANKS|BANK OF BARODA|KAUTHALI|0204886|6102421|RURAL||||"KAUTHALI BANK OF BARODA, NIRMALGRAM GRAMPANCHAYAT KAUTHALI,-1,SOLAPUR,MAHARASHTRA,413222"|BRANCH||413012508|BARB0KAUTHA|2014-03-20 00:00:00
2578|WESTERN REGION|MAHARASHTRA|SOLAPUR|MALSHIRAS|UGHADEWADI|PUBLIC SECTOR BANKS|BANK OF BARODA|UGHADEWADI|0204887|6102411|RURAL||||"UGHADEWADI BANK OF BARODA, GAT NO 280/1/A UGHADEWADI,-1,SOLAPUR,MAHARASHTRA,413113"|BRANCH||413012509|BARB0UGHADE|2014-01-30 00:00:00
2579|WESTERN REGION|MAHARASHTRA|PUNE|PUNE CITY|PUNE (M CORP.)|PUBLIC SECTOR BANKS|BANK OF BARODA|WADIA COLLEGE CAMPUS BRANCH|0204889|6200019|METROPOLITAN||DBOD.BL.No.2542/22.03.011/2010-11         |2011-08-16 00:00:00|"LATE PRINCIPAL V K JOAG MARG WADIA COLLEGE CAMPUS WDIA COLLEGE CAMPUS,-1,PUNE,MAHARASHTRA,411006"|BRANCH||411012051|BARB0WADCAM|2013-08-10 00:00:00
2580|WESTERN REGION|MAHARASHTRA|NAGPUR|KAMPTEE|KORADI (CT)|PUBLIC SECTOR BANKS|BANK OF BARODA|KORADI|0204893|6400212|RURAL||||"CHINDWARA ROAD KAMBHALE TOWER, MAHADULE KORA KORADI,-1,NAGPUR,MAHARASHTRA,441111"|BRANCH||440012020|BARB0KORADI|2014-03-27 00:00:00
2581|WESTERN REGION|MAHARASHTRA|THANE|THANE|THANE (M CORP.)|PUBLIC SECTOR BANKS|BANK OF BARODA|"POKHRAN ROAD, THANE"|0204895|6010009|METROPOLITAN||DBOD.BL.No.2542/22.03.011/2010-11         |2011-08-16 00:00:00|"POKHRAN ROAD, THANE SWASTIC GARDEN, SHOP 15 ABC SUBHASH NAGAR, POKHRAN ROAD, THANE,-1,THANE,MAHARASHTRA,400610"|BRANCH||400012202|BARB0POKHAR|2013-08-14 00:00:00
2582|WESTERN REGION|MAHARASHTRA|RAIGAD|MANGAON|MANGAON|PUBLIC SECTOR BANKS|BANK OF BARODA|MANGAON|0204896|6030131|RURAL||||"MORBA C/O SHRI PATIL SABLE NIWAS OPP CIVIL HOSPITAL,-1,RAIGAD,MAHARASHTRA,402104"|BRANCH||402012506|BARB0MANGAO|2014-01-20 00:00:00
