Sl. No.,States/UTs,2018-19: Q2,2018-19: Q1,2017-18: Q4,2017-18: Q3,2017-18: Q2,2017-18: Q1,2016-17: Q4,2016-17: Q3,2016-17: Q2,2016-17: Q1,2015-16: Q4,2015-16: Q3,2015-16: Q2,2015-16: Q1,2014-15: Q4,2014-15: Q3,2014-15: Q2,2014-15: Q1
1,Andaman & Nicobar Islands,20035,19138,18457,17883,16933,16126,15825,14861,14811,14097,14085,13167,12337,11777,11823,10846,10535,10095
2,Andhra Pradesh,3278063,3155114,3104573,2913501,2678157,2568764,2512104,2324291,2336498,2230592,2228988,2068949,1968966,1924249,1978315,1880484,1853918,1833440
3,Arunachal Pradesh,34745,33527,33216,32864,30916,28843,28753,27370,26501,24404,25390,23706,22376,21519,21509,20167,18814,18111
4,Assam,601373,582616,573072,540731,509486,491906,487760,457999,460627,430228,426707,391906,371764,352521,359113,333375,319345,311833
5,Bihar,1068508,1025537,1015106,958560,915227,912100,908753,833963,858804,814887,812461,739747,718947,696815,721325,634705,611068,592083
6,Chandigarh,739028,734298,673840,685161,645439,646209,621968,599352,588651,576604,559226,639343,611008,589082,588608,584614,596052,595500
7,Chhattisgarh,805916,764745,833524,825125,769638,728995,746033,699834,680363,669691,660673,645999,615594,603645,610232,562186,534469,526161
8,Dadra & Nagar Haveli,19092,17881,17243,16098,14568,13973,13302,12073,12023,11592,28141,11471,10149,9471,9488,9069,8650,7885
9,Daman & Diu,14134,13032,13058,11884,11111,10706,10197,9513,9137,8741,8739,8278,8078,7889,8061,7935,7677,6208
10,Goa,185928,176705,176315,176055,165169,159419,159379,153528,153333,147264,150437,143175,137787,135784,137787,134078,122414,131140
11,Gujarat,5057790,4847457,4827786,4506795,4237750,4200015,4135367,3918735,3982181,3847259,3923773,3603719,3439250,3363529,3484323,3202953,3052785,3030412
12,Haryana,2299806,2145807,2183365,2057990,1878635,1805263,1795368,1762008,1709550,1698695,1782410,1681413,1603809,1605897,1654934,1533293,1484140,1452749
13,Himachal Pradesh,276464,270087,264795,258760,244373,234824,232894,230489,234394,220694,224996,208379,201489,188584,209044,183170,178663,175525
14,Jammu & Kashmir,494989,463786,448185,426937,410301,384868,372755,354034,372486,352144,354839,337721,328105,314076,310972,287064,282548,269309
15,Jharkhand,561082,539350,546394,539606,500340,484762,499918,464520,464077,445474,466351,423874,411649,394334,412019,378317,370271,361391
16,Karnataka,6138570,5945721,5867397,5578804,5423591,5257533,5234097,5020302,4966262,4817370,4908497,4530869,4294232,4252148,4318401,4015317,3856945,3810509
17,Kerala,2973515,2864037,2813838,2743899,2622463,2495286,2463139,2412718,2405964,2248872,2248000,2115762,2079739,2046728,2096562,1942856,1899632,1845703
18,Lakshadweep,829,828,823,804,791,803,805,773,772,783,790,742,698,690,692,631,603,600
19,Madhya Pradesh,2357157,2288754,2215123,2147261,2058601,2008080,1909151,1783219,1808230,1754691,1733082,1653574,1572232,1544269,1534181,1417609,1344618,1362127
20,Maharashtra,25076009,24082241,24047662,23164385,23052959,22509438,22995799,22178803,22160287,21103810,22353050,20226072,18985313,18917809,19760566,17898275,17552347,17336693
21,Manipur,44830,42046,39976,37266,34197,31909,30036,27954,27781,25234,24948,22668,20694,19836,19471,18280,17426,17052
22,Meghalaya,59756,59951,58408,56048,56763,55049,53005,50319,48783,43252,45233,43012,42589,41654,43157,40092,41874,39851
23,Mizoram,31755,30580,30269,28571,27503,26236,26030,25075,24812,23466,23728,21348,20295,19925,20029,17918,17224,16741
24,Nagaland,36343,34915,34684,33136,31709,30299,29674,28156,27852,25838,26371,24695,22961,22465,22724,20848,20064,19694
25,NCT of Delhi,11310430,10521195,10699984,9720528,9398342,9332388,9759930,9109205,9249284,9097633,9705966,8790984,8485102,8530081,9138130,8219742,8060959,8154989
26,Odisha,1064682,1021254,1006534,969898,917819,909486,923132,856983,854826,848532,856069,777580,745803,746344,798490,718625,688382,700047
27,Puducherry,108992,105100,103187,100749,97868,95311,93636,86734,87734,83468,84263,80091,78405,77447,78799,74639,73074,72595
28,Punjab,2193078,2218799,2213884,2230672,2101420,2037396,2025821,1971369,1987612,1940020,2055404,1986147,1914457,1867340,1964387,1827404,1762157,1745312
29,Rajasthan,2675229,2584001,2543816,2397942,2196429,2103812,2103982,1938770,1966983,1854288,1907939,2137136,2039020,1994127,2015117,1865119,1783462,1728246
30,Sikkim,25556,25470,23190,21238,20454,19813,19034,18636,18322,16544,16787,15673,14837,14105,14646,13506,13506,12937
31,Tamil Nadu,8176334,7853119,7841721,7714624,7407302,7228958,7157254,6745237,6846153,6698300,6823099,6466557,6398465,6309949,6516199,6163183,6058139,6010881
32,Telangana,4558852,4427421,4456348,4320102,4137384,4022672,3945715,3894049,3728307,3641955,3715811,3502143,3389145,3337996,3356570,3157537,3107258,3044645
33,Tripura,90363,90175,89811,81563,77341,72645,73568,66656,66210,59937,60834,54339,52513,49269,52067,45942,45246,42763
34,Uttar Pradesh,4040930,3924511,3918917,3704985,3498489,3509180,3510311,3218154,3276430,3150808,3277490,3148682,2988595,2925525,3023379,2735035,2556809,2543474
35,Uttarakhand,477089,459508,446692,435140,407612,388843,387912,353732,354044,329369,336168,305826,299215,288599,306003,272344,264712,261773
36,West Bengal,3682627,3607312,3644535,3560415,3462419,3431677,3987620,3310317,3368771,3211678,3338540,3200623,3154155,3043536,3211371,2952426,2959864,2926697
